season,week,team,totalDvoa,offDvoa,offRank,defDvoa,defRank,stDvoa,stRank,
2007,0,NE,31.90%,25.70%,1,-5.10%,9,1.10%,7,
2007,0,PHI,26.00%,22.20%,3,-3.90%,12,-0.10%,18,
2007,0,JAC,24.70%,8.20%,6,-16.60%,1,-0.10%,19,
2007,0,BAL,12.00%,6.00%,11,-6.50%,7,-0.50%,22,
2007,0,WAS,11.20%,-1.80%,15,-11.50%,4,1.50%,3,
2007,0,TB,10.50%,2.90%,14,-7.50%,5,0.10%,17,
2007,0,CAR,10.50%,-2.80%,17,-12.00%,3,1.30%,5,
2007,0,PIT,10.20%,-3.50%,19,-14.90%,2,-1.20%,26,
2007,0,SD,8.80%,18.40%,4,10.80%,29,1.20%,6,
2007,0,NYJ,7.80%,7.80%,7,0.40%,19,0.40%,12,
2007,0,IND,7.00%,22.80%,2,15.20%,32,-0.60%,23,
2007,0,GB,5.70%,5.00%,12,-5.90%,8,-5.20%,32,
2007,0,CHI,3.80%,-5.60%,20,-6.60%,6,2.80%,2,
2007,0,DEN,0.20%,6.50%,9,5.90%,24,-0.40%,21,
2007,0,ATL,0.20%,-2.20%,16,-3.90%,11,-1.50%,28,
2007,0,SEA,0.10%,3.00%,13,3.00%,22,0.10%,16,
2007,0,SF,-1.50%,-6.20%,22,-4.40%,10,0.20%,14,
2007,0,CIN,-3.50%,6.90%,8,10.00%,27,-0.40%,20,
2007,0,NYG,-3.50%,6.20%,10,7.70%,25,-2.00%,29,
2007,0,NO,-4.50%,9.10%,5,13.60%,31,0.10%,15,
2007,0,BUF,-4.70%,-6.30%,23,2.00%,21,3.70%,1,
2007,0,TEN,-6.60%,-3.50%,18,4.00%,23,0.80%,9,
2007,0,MIN,-9.00%,-9.00%,25,-1.10%,16,-1.10%,25,
2007,0,DET,-9.50%,-12.90%,28,-2.80%,13,0.50%,11,
2007,0,CLE,-9.70%,-10.70%,27,-0.40%,17,0.60%,10,
2007,0,DAL,-9.80%,-9.10%,26,-0.10%,18,-0.80%,24,
2007,0,OAK,-12.20%,-14.40%,29,-1.30%,15,1.00%,8,
2007,0,MIA,-14.30%,-17.10%,32,-1.50%,14,1.30%,4,
2007,0,HOU,-17.30%,-5.70%,21,10.30%,28,-1.20%,27,
2007,0,ARI,-18.60%,-17.00%,31,1.80%,20,0.20%,13,
2007,0,STL,-24.30%,-7.40%,24,13.20%,30,-3.80%,31,
2007,0,KC,-25.60%,-15.20%,30,8.10%,26,-2.30%,30,
2007,1,PIT,92.40%,14.90%,8,-69.60%,1,7.80%,8,
2007,1,NE,88.70%,61.80%,2,-10.10%,14,16.90%,4,
2007,1,IND,78.70%,49.40%,3,-28.60%,8,0.60%,17,
2007,1,MIN,59.60%,10.90%,9,-41.20%,4,7.50%,9,
2007,1,DAL,58.70%,83.80%,1,29.50%,29,4.40%,11,
2007,1,DET,44.00%,24.50%,5,-7.20%,17,12.30%,5,
2007,1,SEA,40.60%,9.30%,10,-25.00%,10,6.40%,10,
2007,1,HOU,39.20%,3.60%,12,-34.10%,7,1.50%,15,
2007,1,SD,32.50%,-9.50%,17,-48.80%,2,-6.80%,24,
2007,1,DEN,19.70%,16.50%,7,-36.70%,6,-33.50%,31,
2007,1,CAR,18.50%,20.70%,6,-9.70%,15,-11.80%,27,
2007,1,TEN,8.90%,9.10%,11,-3.50%,19,-3.70%,20,
2007,1,WAS,6.40%,-3.10%,13,-5.90%,18,3.60%,12,
2007,1,ARI,4.00%,-12.70%,21,-25.30%,9,-8.60%,25,
2007,1,CIN,3.00%,-11.40%,20,-48.20%,3,-33.70%,32,
2007,1,GB,-0.50%,-38.30%,28,-19.00%,11,18.70%,3,
2007,1,PHI,-0.70%,-19.00%,22,-38.30%,5,-20.00%,30,
2007,1,MIA,-0.80%,-5.90%,15,-3.10%,20,2.00%,13,
2007,1,SF,-4.10%,-25.30%,24,-12.70%,12,8.50%,7,
