season,week,awayTeam,homeTeam,forecast,wind
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Panthers,Broncos,82f Clear,2m SSE
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Buccaneers,Falcons,DOME,2m NNW
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Vikings,Titans,77f Clear,3m NE
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Browns,Eagles,83f Clear,9m NW
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Bengals,Jets,80f Partly Cloudy,9m NW
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Raiders,Saints,DOME,3m E
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Chargers,Chiefs,73f Clear,7m S
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Bills,Ravens,82f Partly Cloudy,7m NW
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Bears,Texans,87f Clear,2m NNE
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Packers,Jaguars,91f Partly Cloudy,1m ESE
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Dolphins,Seahawks,64f Partly Cloudy,2m W
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Giants,Cowboys,87f Clear,2m N
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Lions,Colts,DOME,0m E
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Patriots,Cardinals,DOME,6m WSW
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Steelers,Redskins,76f Clear,3m E
http://www.nflweather.com/en/week/2016/week-1/,http://www.nflweather.com/en/week/2016/week-1/,Rams,49ers,60f Clear,6m WNW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Jets,Bills,54f Clear,2m NE
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,49ers,Panthers,85f Partly Cloudy,3m SE
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Cowboys,Redskins,84f Clear,5m S
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Bengals,Steelers,71f Humid and Mostly Cloudy,3m SSE
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Saints,Giants,79f Partly Cloudy,5m SSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Dolphins,Patriots,78f Partly Cloudy,6m SSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Chiefs,Texans,89f Partly Cloudy,2m WSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Titans,Lions,DOME,3m SSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Ravens,Browns,75f Partly Cloudy,5m NW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Seahawks,Rams,85f Clear,4m WSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Buccaneers,Cardinals,DOME,1m SE
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Jaguars,Chargers,78f Clear,5m WSW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Falcons,Raiders,83f Clear,3m WNW
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Colts,Broncos,86f Clear,1m N
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Packers,Vikings,DOME,4m S
http://www.nflweather.com/en/week/2016/week-2/,http://www.nflweather.com/en/week/2016/week-2/,Eagles,Bears,80f Clear,2m S
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Texans,Patriots,68f Clear,3m S
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Cardinals,Bills,62f Clear,1m NE
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Raiders,Titans,89f Clear,3m NW
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Redskins,Giants,67f Clear,4m NNW
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Browns,Dolphins,85f Partly Cloudy,7m E
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Ravens,Jaguars,87f Partly Cloudy,4m NE
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Lions,Packers,72f Mostly Cloudy,10m SSE
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Broncos,Bengals,82f Clear,0m S
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Vikings,Panthers,84f Mostly Cloudy,2m NE
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Rams,Buccaneers,89f Partly Cloudy,3m W
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,49ers,Seahawks,69f Partly Cloudy,2m NW
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Jets,Chiefs,65f Mostly Cloudy,6m NW
http://www.nflweather.com/en/week/2016/week-3/,http://www.nflweather.com/en/week/2016/week-3/,Chargers,Colts,DOME,4m S
