,gameId,result
3047,200911220dal,0.009
2169,201001170sdg,0.055
2594,200709160ram,0.068
1928,200812210det,0.069
1432,201710010nyj,0.035
2143,200712230oti,0.021
1338,201901050htx,0.013
1813,201809230det,0.032
1720,201612110jax,0.019
1235,200911080clt,0.001
302,201709240jax,0.018
1255,201709140cin,0.013
50,200909200jax,0.012
1655,201309150clt,0.045
1454,201510110tam,0.009
2182,201012260chi,0.101
2186,201209230mia,0.068
292,201509130den,0.01
906,200810200nwe,0.023
3027,201312080den,0.011
1182,200811230cle,0.055
1818,200909200nyj,0.009
1212,200710140jax,0.019
1463,201211180htx,0.001
1148,201412210tam,0.024
2607,200810190nyg,0.016
2197,201412140kan,0.011
1437,201712310oti,0.008
2193,201809300jax,0.043
2790,201509200was,0.028
842,201210140rav,0.013
2302,201712030sea,0.005
1223,200909200oti,0.034
2249,201312080nyj,0.006
1607,201712030crd,0.026
1841,201709170nor,0.027
2348,201409150clt,0.048
2843,201612180dal,0.005
1397,200712160pit,0.015
1135,201709170atl,0.042
2753,201101160chi,0.006
1054,200811020chi,0.007
1389,201112150atl,0.006
1465,201610160chi,0.007
1751,201212020gnb,0.008
1768,201409210nor,0.004
700,201711120det,0.004
1266,201510250mia,0.011
1343,201612240rai,0.03
1701,201709170sdg,0.007
3059,200911080atl,0.084
3035,201310130dal,0.022
1520,201512060rai,0.024
2887,201712030gnb,0.01
2531,201011280clt,0.025
216,201212090was,0.016
1719,201409070ram,0.013
2705,200712300atl,0.022
489,201311240mia,0.03
3014,201210210buf,0.017
1246,201512270oti,0.026
2501,200810050mia,0.011
1312,201011070phi,0.002
1665,201612170nyj,0.017
1500,201410050sfo,0.009
299,200812200dal,0.036
2220,201509270cle,0.027
1238,201110160rav,0.033
2926,200809210chi,0.009
2448,201109110rav,0.024
1737,201111270atl,0.006
2782,201412280sea,0.01
1369,201612180min,0.016
2568,201509270min,0.007
380,201011210cin,0.025
1976,201110160tam,0.012
614,201309290cle,0.013
1705,201409280rai,0.005
3090,201209090nor,0.011
2966,201710080mia,0.024
564,201409220nyj,0.005
2560,201401120den,0.003
191,201610090den,0.008
1254,200910180cin,0.009
197,201812090kan,0.099
1053,201711190chi,0.042
2851,201712240car,0.001
2272,201311170htx,0.025
1013,201312080phi,0.001
1866,201012260buf,0.039
