Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Minnesota Vikings,MIN,DST,2,NO,0,3,0,0.9,0.7,0,0,0,13.6,11.4,11.4
1,Minnesota Vikings,MIN,DST,3,PHI,0,3,0,0.9,0.7,0,0,0,13.6,11.4,11.4
3,New England Patriots,NE,DST,2,TEN,0,3,0,1.3,0.5,0,0,0,14.5,8.8,8.8
3,New England Patriots,NE,DST,3,JAX,0,3,0,1.3,0.5,0,0,0,14.5,8.8,8.8
3,New England Patriots,NE,DST,4,PHI,0,3,0,1.3,0.5,0,0,0,14.5,8.8,8.8
6,Pittsburgh Steelers,PIT,DST,2,JAX,0,3,0,1.1,0.6,0,0,0,15.8,8.6,8.6
7,Kansas City Chiefs,KC,DST,1,TEN,0,2.6,0,1,0.6,0,0,0,20.7,8,8
7,Jacksonville Jaguars,JAX,DST,1,BUF,0,2.8,0,1,0.5,0,0,0,20.7,8,8
7,Jacksonville Jaguars,JAX,DST,2,PIT,0,2.8,0,1,0.5,0,0,0,20.7,8,8
7,Jacksonville Jaguars,JAX,DST,3,NE,0,2.8,0,1,0.5,0,0,0,20.7,8,8
11,Buffalo Bills,BUF,DST,1,JAX,0,2.3,0,1.1,0.5,0,0,0,19.5,7.7,7.7
12,Tennessee Titans,TEN,DST,1,KC,0,2.5,0,0.8,0.6,0,0,0,20.2,7.5,7.5
12,Tennessee Titans,TEN,DST,2,NE,0,2.5,0,0.8,0.6,0,0,0,20.2,7.5,7.5
14,Atlanta Falcons,ATL,DST,1,LAR,0,2.2,0,0.7,0.6,0,0,0,20.9,7,7
14,Atlanta Falcons,ATL,DST,2,PHI,0,2.2,0,0.7,0.6,0,0,0,20.9,7,7
16,New Orleans Saints,NO,DST,1,CAR,0,2.5,0,1,0.6,0,0,0,21.3,6.9,6.9
16,New Orleans Saints,NO,DST,2,MIN,0,2.5,0,1,0.6,0,0,0,21.3,6.9,6.9
18,Los Angeles Rams,LAR,DST,1,ATL,0,2.8,0,0.7,0.5,0,0,0,23.8,6.4,6.4
19,Philadelphia Eagles,PHI,DST,2,ATL,0,2.2,0,0.9,0.5,0,0,0,21.1,6.2,6.2
19,Philadelphia Eagles,PHI,DST,3,MIN,0,2.2,0,0.9,0.5,0,0,0,21.1,6.2,6.2
19,Philadelphia Eagles,PHI,DST,4,NE,0,2.2,0,0.9,0.5,0,0,0,21.1,6.2,6.2
22,Carolina Panthers,CAR,DST,1,NO,0,2.5,0,0.7,0.5,0,0,0,24.6,6.1,6.1
