Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Seattle Seahawks,SEA,DST,2,CAR,2,2,8,2,1,0,1,0,17,15,15
2,Green Bay Packers,GB,DST,3,SEA,6,5,9,4,1,0,0,0,28,14,14
3,Baltimore Ravens,BAL,DST,1,PIT,7,5,5,2,1,0,0,0,15,12,12
4,Carolina Panthers,CAR,DST,1,ARI,8,4,4,2,1,0,0,0,14,11,11
5,Dallas Cowboys,DAL,DST,1,DET,3,3,3,1,2,0,0,0,20,10,10
5,New England Patriots,NE,DST,3,IND,0,0,5,2,1,0,0,0,7,10,10
7,Arizona Cardinals,ARI,DST,1,CAR,5,1,3,1,2,1,0,0,27,9,9
7,Indianapolis Colts,IND,DST,1,CIN,3,3,6,0,1,0,0,0,10,9,9
9,Detroit Lions,DET,DST,1,DAL,6,6,10,0,1,0,0,0,24,8,8
9,Indianapolis Colts,IND,DST,2,DEN,3,2,3,0,1,0,0,0,13,8,8
9,Green Bay Packers,GB,DST,2,DAL,2,4,8,0,1,0,0,0,21,8,8
12,Pittsburgh Steelers,PIT,DST,1,BAL,4,1,4,0,1,1,0,0,30,6,6
13,New England Patriots,NE,DST,4,SEA,3,3,4,1,0,0,0,0,24,5,5
13,Seattle Seahawks,SEA,DST,3,GB,4,1,6,2,0,0,0,0,22,5,5
15,Dallas Cowboys,DAL,DST,2,GB,4,2,2,0,1,0,0,0,26,4,4
15,Denver Broncos,DEN,DST,2,IND,3,0,4,2,0,0,0,0,24,4,4
15,Seattle Seahawks,SEA,DST,4,NE,2,1,7,2,0,0,0,0,28,4,4
18,Cincinnati Bengals,CIN,DST,1,IND,1,1,8,0,1,0,0,0,26,3,3
18,New England Patriots,NE,DST,2,BAL,2,0,4,2,0,0,0,0,31,3,3
20,Carolina Panthers,CAR,DST,2,SEA,5,2,2,0,0,0,0,0,25,2,2
21,Baltimore Ravens,BAL,DST,2,NE,2,2,9,1,0,0,0,0,35,0,0
22,Indianapolis Colts,IND,DST,3,NE,2,1,2,1,0,0,0,0,45,-1,-1
