Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Patrick Mahomes,KC,QB,2,IND,25.2,42,59.5,336,8,3,1,98.91,3,15,5,0,25.9,25.94
2,Patrick Mahomes,KC,QB,3,NE,23.9,36.3,66.7,318.6,8.9,3.1,0.8,110.76,3.8,17,4.2,0.1,25.4,25.44
3,Deshaun Watson,HOU,QB,1,IND,20.6,34.2,61.8,274,8.1,2,1,94.49,6,33,5.5,0,21.3,21.26
4,Andrew Luck,IND,QB,1,HOU,26,38,68.4,323,8.5,2,1,101.1,3,10,3.3,0,20.9,20.92
5,Andrew Luck,IND,QB,2,KC,28,41,68.3,318,7.8,2,1,97.41,3,11,3.7,0,20.8,20.82
6,Jared Goff,LAR,QB,4,NE,23.4,36.8,62.2,297.2,8,2.3,0.8,94.09,2.5,7.1,3.5,0.1,20.6,20.6
7,Tom Brady,NE,QB,4,LAR,25.8,38.2,68.4,296.5,7.8,2.2,0.7,98.14,1.1,2.3,2,0.1,20.2,20.19
8,Drew Brees,NO,QB,3,LAR,20,33.3,60.6,266.1,8.1,2.1,0.3,106.38,2.1,1.5,1,0.3,20.1,20.09
9,Jared Goff,LAR,QB,2,DAL,25,37,67.6,299,8.1,2,1,98.82,2,5,2.5,0,19.5,19.46
10,Mitch Trubisky,CHI,QB,1,PHI,20,31,64.5,228,7.4,2,1,94.56,5,28,5.6,0,18.9,18.92
11,Nick Foles,PHI,QB,2,NO,26,38,68.4,285,7.5,2,1,96.93,2,5,2.5,0,18.9,18.9
12,Jared Goff,LAR,QB,3,NO,22.8,35.1,65.7,293,8.4,2,0.8,98.87,2.6,6.8,2.3,0.1,18.8,18.8
13,Philip Rivers,LAC,QB,2,NE,23,36,63.9,289,8,2,1,95.72,1,2,2,0,18.8,18.76
14,Drew Brees,NO,QB,2,PHI,21,35,60,280,8,2,1,92.56,2,4,2,0,18.6,18.6
15,Tom Brady,NE,QB,2,LAC,24,36,66.7,273,7.6,2,1,96.18,2,5,2.5,0,18.4,18.42
16,Russell Wilson,SEA,QB,1,DAL,16.6,27.6,60.7,221,7.9,2,1,94.49,5,23,4.6,0,18.1,18.14
17,Tom Brady,NE,QB,3,KC,23.4,35.6,63.9,272.2,7.6,1.8,0.7,93.75,1.4,2.2,2,0.1,17.6,17.61
18,Lamar Jackson,BAL,QB,1,LAC,15,26,57.7,159,6.1,1,1,72.44,13,64,4.9,0,15.8,15.76
19,Dak Prescott,DAL,QB,2,LAR,22,34,64.7,244,7.2,1,1,83.46,4,19,4.8,0,14.7,14.66
19,Dak Prescott,DAL,QB,1,SEA,22,32,68.8,239,7.5,1,1,87.89,5,21,4.2,0,14.7,14.66
21,Nick Foles,PHI,QB,1,CHI,23,36,63.9,254,7.1,1,1,82.41,2,4,2,0,13.6,13.56
