Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Russell Wilson,SEA,QB,1,MIN,null,null,8600,24.32
2,Cam Newton,CAR,QB,3,ARI,null,null,8500,24.06
2,Cam Newton,CAR,QB,4,DEN,null,null,null,24.06
4,Aaron Rodgers,GB,QB,1,WAS,null,null,8100,24
5,Russell Wilson,SEA,QB,2,CAR,null,null,8400,23.8
6,Cam Newton,CAR,QB,2,SEA,null,null,8700,23.72
7,Aaron Rodgers,GB,QB,2,ARI,null,null,8300,22.58
8,Peyton Manning,DEN,QB,2,PIT,null,null,7000,22.48
9,Peyton Manning,DEN,QB,3,NE,null,null,6700,21.8
9,Peyton Manning,DEN,QB,4,CAR,null,null,null,21.8
11,Carson Palmer,ARI,QB,2,GB,null,null,8900,18.4
12,Ben Roethlisberger,PIT,QB,1,CIN,null,null,8400,18.36
13,Andy Dalton,CIN,QB,1,PIT,null,null,7900,18.08
14,Tom Brady,NE,QB,2,KC,null,null,8600,17.86
15,Alex Smith,KC,QB,2,NE,null,null,7200,17.48
16,Kirk Cousins,WAS,QB,1,GB,null,null,8000,17.34
17,AJ McCarron,CIN,QB,1,PIT,null,null,6400,17
18,Brock Osweiler,DEN,QB,3,NE,null,null,6000,16.2
19,Carson Palmer,ARI,QB,3,CAR,null,null,7700,16.12
20,Brian Hoyer,HOU,QB,1,KC,null,null,6900,15.88
21,Alex Smith,KC,QB,1,HOU,null,null,7100,15.72
22,Ben Roethlisberger,PIT,QB,2,DEN,null,null,8100,14.86
23,Teddy Bridgewater,MIN,QB,1,SEA,null,null,6700,14.84
24,Tom Brady,NE,QB,3,DEN,null,null,8100,14.66
25,Landry Jones,PIT,QB,2,DEN,null,null,6300,8.72
26,Chase Daniel,KC,QB,1,HOU,null,null,5000,0
26,TJ Yates,HOU,QB,1,KC,null,null,null,0
26,Brandon Weeden,HOU,QB,1,KC,null,null,6000,0
26,BJ Daniels,HOU,QB,1,KC,null,null,null,0
26,Tom Savage,HOU,QB,1,KC,null,null,null,0
26,Aaron Murray,KC,QB,1,HOU,null,null,null,0
26,Keith Wenning,CIN,QB,1,PIT,null,null,5000,0
26,Landry Jones,PIT,QB,1,CIN,null,null,6000,0
26,Michael Vick,PIT,QB,1,CIN,null,null,null,0
26,Bruce Gradkowski,PIT,QB,1,CIN,null,null,null,0
26,Tarvaris Jackson,SEA,QB,1,MIN,null,null,5000,0
26,Shaun Hill,MIN,QB,1,SEA,null,null,5000,0
26,Taylor Heinicke,MIN,QB,1,SEA,null,null,null,0
26,Brett Hundley,GB,QB,1,WAS,null,null,null,0
26,Robert Griffin III,WAS,QB,1,GB,null,null,5000,0
26,Scott Tolzien,GB,QB,1,WAS,null,null,5000,0
26,Colt McCoy,WAS,QB,1,GB,null,null,5000,0
26,Chase Daniel,KC,QB,2,NE,null,null,5000,0
26,Jimmy Garoppolo,NE,QB,2,KC,null,null,5000,0
26,Aaron Murray,KC,QB,2,NE,null,null,null,0
26,Trevor Siemian,DEN,QB,2,PIT,null,null,null,0
26,Brock Osweiler,DEN,QB,2,PIT,null,null,6800,0
26,Michael Vick,PIT,QB,2,DEN,null,null,null,0
26,Bruce Gradkowski,PIT,QB,2,DEN,null,null,null,0
26,Drew Stanton,ARI,QB,2,GB,null,null,5000,0
26,Scott Tolzien,GB,QB,2,ARI,null,null,5000,0
26,Matt Barkley,ARI,QB,2,GB,null,null,null,0
26,Brett Hundley,GB,QB,2,ARI,null,null,null,0
26,Joe Webb,CAR,QB,2,SEA,null,null,5000,0
26,Derek Anderson,CAR,QB,2,SEA,null,null,5000,0
26,Tarvaris Jackson,SEA,QB,2,CAR,null,null,5000,0
26,Drew Stanton,ARI,QB,3,CAR,null,null,6000,0
26,Derek Anderson,CAR,QB,3,ARI,null,null,6000,0
26,Joe Webb,CAR,QB,3,ARI,null,null,6000,0
26,Matt Barkley,ARI,QB,3,CAR,null,null,null,0
26,Trevor Siemian,DEN,QB,3,NE,null,null,null,0
26,Jimmy Garoppolo,NE,QB,3,DEN,null,null,6000,0
26,Joe Webb,CAR,QB,4,DEN,null,null,null,0
26,Derek Anderson,CAR,QB,4,DEN,null,null,null,0
26,Brock Osweiler,DEN,QB,4,CAR,null,null,null,0
26,Trevor Siemian,DEN,QB,4,CAR,null,null,null,0
