Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Matt Ryan,ATL,QB,3,GB,27,38,71.1,392,10.3,4,0,139.36,3,23,7.7,1,40,39.98
2,Aaron Rodgers,GB,QB,1,NYG,25,40,62.5,362,9,4,0,125.21,2,0,0,0,30.5,30.48
3,Tom Brady,NE,QB,4,ATL,43,62,69.4,466,7.5,2,1,95.23,1,15,15,0,29.1,29.14
4,Dak Prescott,DAL,QB,2,GB,24,38,63.2,302,7.9,3,1,103.18,2,13,6.5,0,28.4,28.38
5,Tom Brady,NE,QB,3,PIT,32,42,76.2,384,9.1,3,0,127.48,4,-1,-0.2,0,27.3,27.26
6,Aaron Rodgers,GB,QB,3,ATL,27,45,60,287,6.4,3,1,91.62,4,46,11.5,0,27.1,27.08
7,Matt Ryan,ATL,QB,2,SEA,26,37,70.3,338,9.1,3,0,125.73,3,-3,-1,0,25.2,25.22
8,Aaron Rodgers,GB,QB,2,DAL,28,43,65.1,356,8.3,2,1,96.66,2,16,8,0,22.8,22.84
9,Russell Wilson,SEA,QB,2,ATL,17,30,56.7,225,7.5,2,2,75,6,49,8.2,0,19.9,19.9
10,Brock Osweiler,HOU,QB,1,OAK,14,25,56,168,6.7,1,0,90.08,6,15,2.5,1,18.2,18.22
11,Ben Roethlisberger,PIT,QB,3,NE,31,47,66,314,6.7,1,1,83.11,0,0,0,0,17.6,17.56
12,Tom Brady,NE,QB,2,HOU,18,38,47.4,287,7.6,2,2,68.64,4,-1,-0.2,0,17.4,17.38
13,Matt Ryan,ATL,QB,4,NE,17,23,73.9,284,12.3,2,0,144.11,0,0,0,0,17.4,17.36
14,Russell Wilson,SEA,QB,1,DET,23,30,76.7,224,7.5,2,0,119.31,3,-3,-1,0,16.7,16.66
15,Ben Roethlisberger,PIT,QB,1,MIA,13,18,72.2,197,10.9,2,2,105.32,4,10,2.5,0,14.9,14.88
16,Eli Manning,NYG,QB,1,GB,23,44,52.3,299,6.8,1,1,72.06,1,11,11,0,14.1,14.06
17,Alex Smith,KC,QB,2,PIT,20,34,58.8,172,5.1,1,1,69.73,2,9,4.5,0,10.8,10.78
18,Matt Moore,MIA,QB,1,PIT,29,36,80.6,289,8,1,1,97.8,1,2,2,0,10.8,10.76
19,Brock Osweiler,HOU,QB,2,NE,23,40,57.5,198,5,1,3,47.71,1,18,18,0,10.7,10.72
20,Matthew Stafford,DET,QB,1,SEA,18,32,56.2,205,6.4,0,0,75.65,3,15,5,0,9.7,9.7
21,Ben Roethlisberger,PIT,QB,2,KC,20,31,64.5,224,7.2,0,1,72.51,4,1,0.2,0,8.1,8.06
22,Connor Cook,OAK,QB,1,HOU,18,45,40,161,3.6,1,3,29.95,0,0,0,0,7.4,7.44
23,Brett Hundley,GB,QB,3,ATL,0,0,0,0,0,0,0,0,1,14,14,0,1.4,1.4
24,TJ Yates,MIA,QB,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
