Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,1,ATL,19,87,4.6,1,5.44,4,53,0,0,0,22,22
2,Le'Veon Bell,PIT,RB,2,JAX,21,87,4.1,1,7.35,5,30,0,0,0,20.2,20.2
3,Leonard Fournette,JAX,RB,3,NE,21,94,4.5,1,4.41,3,24,0,0,0,19.3,19.3
4,Kareem Hunt,KC,RB,1,TEN,17,83,4.9,1,4.23,3,28,0,0,0,18.6,18.6
5,Alvin Kamara,NO,RB,1,CAR,8,46,5.8,1,6.55,5,52,0,0,0,18.3,18.3
6,Leonard Fournette,JAX,RB,1,BUF,21,80,3.8,1,4.41,3,23,0,0,0,17.8,17.8
7,Alvin Kamara,NO,RB,2,MIN,9,39,4.3,0,7.86,6,48,1,0,0,17.7,17.7
8,Mark Ingram,NO,RB,1,CAR,14,70,5,1,5.44,4,26,0,0,0,17.6,17.6
9,Leonard Fournette,JAX,RB,2,PIT,20,82,4.1,1,4.41,3,16,0,0,0,17.3,17.3
10,Devonta Freeman,ATL,RB,1,LAR,14,62,4.4,1,4.05,3,23,0,0,0,16,16
11,Mark Ingram,NO,RB,2,MIN,15,66,4.4,1,4.08,3,17,0,0,0,15.8,15.8
12,Dion Lewis,NE,RB,3,JAX,13,56,4.3,1,2.88,2,22,0,0,0,14.8,14.8
13,Jay Ajayi,PHI,RB,4,NE,15,62,4.1,1,2.76,2,11,0,0,0,14.3,14.3
14,Latavius Murray,MIN,RB,2,NO,14,66,4.7,1,1.33,1,7,0,0,0,13.8,13.8
14,Dion Lewis,NE,RB,4,PHI,12,56,4.7,0,8.64,6,52,0,0,0,13.8,13.8
16,Dion Lewis,NE,RB,2,TEN,11,45,4.1,1,2.88,2,19,0,0,0,13.4,13.4
17,Latavius Murray,MIN,RB,3,PHI,15,59,3.9,1,1.33,1,8,0,0,0,13.2,13.2
18,Rex Burkhead,NE,RB,4,PHI,6,26,4.3,1,4.32,3,25,0,0,0,12.6,12.6
19,LeSean McCoy,BUF,RB,1,JAX,18,71,3.9,0,5.44,4,28,0,0,0,11.9,11.9
20,Derrick Henry,TEN,RB,2,NE,17,75,4.4,0,2.98,2,14,0,0,0,9.9,9.9
21,Devonta Freeman,ATL,RB,2,PHI,14,58,4.1,0,4.05,3,22,0,0,0,9.5,9.5
22,Christian McCaffrey,CAR,RB,1,NO,7,27,3.9,0,7,5,41,0,0,0,9.3,9.3
23,Jerick McKinnon,MIN,RB,2,NO,10,43,4.3,0,4.47,3,27,0,0,0,8.5,8.5
24,Jay Ajayi,PHI,RB,3,MIN,16,60,3.8,0,2.76,2,13,0,0,0,8.3,8.3
25,Jerick McKinnon,MIN,RB,3,PHI,10,38,3.8,0,4.47,3,29,0,0,0,8.2,8.2
26,Jay Ajayi,PHI,RB,2,ATL,17,65,3.8,0,1.38,1,8,0,0,0,7.8,7.8
27,DeMarco Murray,TEN,RB,1,KC,12,44,3.7,0,3.9,3,18,0,0,0,7.7,7.7
28,Tevin Coleman,ATL,RB,1,LAR,10,42,4.2,0,2.68,2,20,0,0,0,7.2,7.2
29,Rex Burkhead,NE,RB,2,TEN,7,38,5.4,0,4.32,3,17,0,0,0,7,7
30,Tevin Coleman,ATL,RB,2,PHI,8,34,4.2,0,2.68,2,20,0,0,0,6.4,6.4
31,James White,NE,RB,4,PHI,3,12,4,0,5.8,4,31,0,0,0,6.3,6.3
32,TJ Yeldon,JAX,RB,1,BUF,5,25,5,0,4.44,3,22,0,0,0,6.2,6.2
33,Derrick Henry,TEN,RB,1,KC,11,47,4.3,0,1.49,1,9,0,0,0,6.1,6.1
34,Marcus Murphy,BUF,RB,1,JAX,7,41,5.9,0,2.68,2,7,0,0,0,5.8,5.8
35,LeGarrette Blount,PHI,RB,4,NE,11,48,4.4,0,1.39,1,3,0,0,0,5.6,5.6
36,Rex Burkhead,NE,RB,3,JAX,6,26,4.3,0,2.88,2,19,0,0,0,5.5,5.5
37,Jonathan Stewart,CAR,RB,1,NO,13,45,3.5,0,1.39,1,4,0,0,0,5.4,5.4
38,James White,NE,RB,3,JAX,4,16,4,0,4.35,3,22,0,0,0,5.3,5.3
39,Chris Ivory,JAX,RB,1,BUF,8,27,3.4,0,2.86,2,13,0,0,0,5,5
40,DeMarco Murray,TEN,RB,2,NE,6,27,4.5,0,2.6,2,10,0,0,0,4.7,4.7
41,LeGarrette Blount,PHI,RB,2,ATL,7,34,4.9,0,1.39,1,5,0,0,0,4.4,4.4
42,LeGarrette Blount,PHI,RB,3,MIN,8,30,3.8,0,1.39,1,5,0,0,0,4,4
43,TJ Yeldon,JAX,RB,3,NE,3,13,4.3,0,2.96,2,14,0,0,0,3.7,3.7
44,Mike Tolbert,BUF,FB,1,JAX,6,21,3.5,0,1.49,1,7,0,0,0,3.3,3.3
44,Corey Clement,PHI,RB,2,ATL,5,20,4,0,1.31,1,8,0,0,0,3.3,3.3
44,Corey Clement,PHI,RB,4,NE,5,20,4,0,1.31,1,8,0,0,0,3.3,3.3
44,James White,NE,RB,2,TEN,2,7,3.5,0,2.9,2,16,0,0,0,3.3,3.3
48,Malcolm Brown,LAR,RB,1,ATL,6,22,3.7,0,1.42,1,5,0,0,0,3.2,3.2
49,Corey Clement,PHI,RB,3,MIN,4,17,4.2,0,1.31,1,9,0,0,0,3.1,3.1
50,Charcandrick West,KC,RB,1,TEN,1,6,6,0,2.96,2,12,0,0,0,2.8,2.8
51,Chris Ivory,JAX,RB,3,NE,3,14,4.7,0,1.43,1,8,0,0,0,2.7,2.7
52,Chris Ivory,JAX,RB,2,PIT,3,10,3.3,0,1.43,1,5,0,0,0,2,2
53,Corey Grant,JAX,RB,1,BUF,3.33,16,5.3,0,0,0,3,0,0,0,1.9,1.9
54,Stevan Ridley,PIT,RB,2,JAX,3,11,3.7,0,1.33,1,2,0,0,0,1.8,1.8
55,Corey Grant,JAX,RB,2,PIT,2,9,4.5,0,1.47,1,3,0,0,0,1.7,1.7
55,Mike Gillislee,NE,RB,2,TEN,2,9,4.5,0,1.34,1,3,0,0,0,1.7,1.7
57,Mike Gillislee,NE,RB,3,JAX,2,8,4,0,1.34,1,3,0,0,0,1.6,1.6
58,TJ Yeldon,JAX,RB,2,PIT,1,4,4,0,1.48,1,5,0,0,0,1.4,1.4
59,Lance Dunbar,LAR,RB,1,ATL,3,13,4.3,0,0,0,0,0,0,0,1.3,1.3
60,Terron Ward,ATL,RB,1,LAR,2,9,4.5,0,0,0,1,0,0,0,1,1
61,Mike Gillislee,NE,RB,4,PHI,2,8,4,0,0,0,0,0,0,0,0.8,0.8
62,Cameron Artis-Payne,CAR,RB,1,NO,1.45,7,7,0,0,0,0,0,0,0,0.7,0.7
63,Anthony Sherman,KC,FB,1,TEN,1,3,3,0,0,0,3,0,0,0,0.6,0.6
63,Fozzy Whittaker,CAR,RB,1,NO,1,2,2,0,0,0,4,0,0,0,0.6,0.6
65,Akeem Hunt,KC,RB,1,TEN,1,2,2,0,0,0,2,0,0,0,0.4,0.4
66,Tommy Bohanon,JAX,FB,1,BUF,0,0,0,0,0,0,3,0,0,0,0.3,0.3
66,Zach Line,NO,FB,1,CAR,1,2,2,0,0,0,1,0,0,0,0.3,0.3
68,Derrick Coleman,ATL,FB,1,LAR,0,1,0,0,0,0,1,0,0,0,0.2,0.2
68,Patrick DiMarco,BUF,FB,1,JAX,0,0,0,0,0,0,2,0,0,0,0.2,0.2
70,David Fluellen,TEN,RB,1,KC,0,1,0,0,0,0,0,0,0,0,0.1,0.1
71,CJ Spiller,KC,RB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0
71,Spencer Ware,KC,RB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0
71,George Atkinson,KC,RB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0
71,Khalfani Muhammad,TEN,RB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0
71,Sam Rogers,LAR,FB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Justin Davis,LAR,RB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Lenard Tillery,LAR,RB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Taniela Tupou,ATL,FB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0
71,Zach Laskey,LAR,RB,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Terrence Magee,ATL,RB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0
71,Taiwan Jones,BUF,RB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Travaris Cadet,BUF,RB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Tyler Gaffney,JAX,RB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0
71,Aaron Green,BUF,RB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Wilds,JAX,RB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0
71,Tim Cook,JAX,RB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0
71,I'Tavius Mathers,JAX,RB,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0
71,Trey Edmunds,NO,RB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0
71,Alex Armah,CAR,RB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0
71,Daniel Lasco,NO,RB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0
71,Jonathan Williams,NO,RB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0
71,John Kuhn,NO,FB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0
71,Darren Sproles,PHI,RB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Kenjon Barner,PHI,RB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Derrick Coleman,ATL,FB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Terrence Magee,ATL,RB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Terron Ward,ATL,RB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Wendell Smallwood,PHI,RB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Taniela Tupou,ATL,FB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Donnel Pumphrey,PHI,RB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0
71,Tim Cook,JAX,RB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
71,I'Tavius Mathers,JAX,RB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
71,James Conner,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Wilds,JAX,RB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
71,Terrell Watson,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Fitzgerald Toussaint,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Roosevelt Nix,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Tyler Gaffney,JAX,RB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
71,Tommy Bohanon,JAX,FB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Bolden,NE,RB,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0
71,James Develin,NE,RB,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0
71,David Fluellen,TEN,RB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Khalfani Muhammad,TEN,RB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Trey Edmunds,NO,RB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Dalvin Cook,MIN,RB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0
71,CJ Ham,MIN,RB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0
71,Daniel Lasco,NO,RB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Jonathan Williams,NO,RB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Mack Brown,MIN,RB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0
71,Bishop Sankey,MIN,RB,2,NO,0,0,0,0,0,0,0,0,0,0,0,0
71,Zach Line,NO,FB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,John Kuhn,NO,FB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Bolden,NE,RB,3,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,James Develin,NE,RB,3,JAX,0,0,0,0,0,0,0,0,0,0,0,0
71,Tommy Bohanon,JAX,FB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Tyler Gaffney,JAX,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Corey Grant,JAX,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Wilds,JAX,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Tim Cook,JAX,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,I'Tavius Mathers,JAX,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Dalvin Cook,MIN,RB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Donnel Pumphrey,PHI,RB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,CJ Ham,MIN,RB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Wendell Smallwood,PHI,RB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Mack Brown,MIN,RB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Bishop Sankey,MIN,RB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Kenjon Barner,PHI,RB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Darren Sproles,PHI,RB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0
71,Darren Sproles,PHI,RB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Bolden,NE,RB,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,James Develin,NE,RB,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0
71,Kenjon Barner,PHI,RB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Wendell Smallwood,PHI,RB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0
71,Donnel Pumphrey,PHI,RB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0
