Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Matt Forte,CHI,RB,7,MIA,18,79,4.4,1,9,6,51,1,0,0,28,28
2,Matt Forte,CHI,RB,6,ATL,17,88,5.2,1,7,5,42,1,0,0,27.5,27.5
3,Jamaal Charles,KC,RB,7,LAC,17,79,4.6,1,7,5,36,1,0,0,26,26
4,Giovani Bernard,CIN,RB,7,IND,17,86,5.1,1,5,4,29,1,0,0,25.5,25.5
5,Le'Veon Bell,PIT,RB,15,ATL,23,117,5.1,1,7,5,45,0,0,0,24.7,24.7
6,Le'Veon Bell,PIT,RB,16,KC,22,114,5.2,1,7,5,36,0,0,0,23.5,23.5
7,Matt Forte,CHI,RB,12,TB,21,100,4.8,1,7,5,46,0,0,0,23.1,23.1
8,Matt Forte,CHI,RB,8,NE,16,65,4.1,1,12,8,61,0,0,0,22.6,22.6
9,Le'Veon Bell,PIT,RB,17,CIN,22,101,4.6,1,7,5,39,0,0,0,22.5,22.5
10,Matt Forte,CHI,RB,15,NO,20,85,4.2,1,9,6,46,0,0,0,22.1,22.1
11,Matt Forte,CHI,RB,10,GB,18,83,4.6,1,9,6,46,0,0,0,21.9,21.9
12,Jamaal Charles,KC,RB,15,OAK,21,108,5.1,1,6,4,30,0,0,0,21.8,21.8
12,DeMarco Murray,DAL,RB,15,PHI,21,103,4.9,1,6,5,30,0,0,0,21.8,21.8
14,DeMarco Murray,DAL,RB,10,JAX,21,112,5.3,1,4,3,29,0,0,0,21.6,21.6
14,Arian Foster,HOU,RB,14,JAX,21,99,4.7,1,5,4,37,0,0,0,21.6,21.6
16,Jamaal Charles,KC,RB,11,SEA,21,100,4.8,1,6,4,35,0,0,0,21.5,21.5
16,DeMarco Murray,DAL,RB,12,NYG,21,111,5.3,1,5,4,24,0,0,0,21.5,21.5
16,DeMarco Murray,DAL,RB,13,PHI,23,114,5,1,5,4,21,0,0,0,21.5,21.5
19,Matt Forte,CHI,RB,2,SF,18,77,4.3,1,9,6,47,0,0,0,21.4,21.4
20,DeMarco Murray,DAL,RB,14,CHI,22,104,4.7,1,5,4,28,0,0,0,21.2,21.2
20,Arian Foster,HOU,RB,9,PHI,21,103,4.9,1,5,4,29,0,0,0,21.2,21.2
22,Arian Foster,HOU,RB,7,PIT,20,100,5,1,5,4,31,0,0,0,21.1,21.1
23,Arian Foster,HOU,RB,8,TEN,21,112,5.3,1,4,3,23,0,0,0,21,21
23,Matt Forte,CHI,RB,11,MIN,20,82,4.1,1,7,5,43,0,0,0,21,21
25,Le'Veon Bell,PIT,RB,7,HOU,19,89,4.7,0,7,5,35,1,0,0,20.9,20.9
26,DeMarco Murray,DAL,RB,7,NYG,20,106,5.3,1,4,3,27,0,0,0,20.8,20.8
26,Le'Veon Bell,PIT,RB,11,TEN,18,85,4.7,1,7,5,38,0,0,0,20.8,20.8
28,DeMarco Murray,DAL,RB,5,HOU,22,115,5.2,1,3,2,22,0,0,0,20.7,20.7
28,Jamaal Charles,KC,RB,13,DEN,18,78,4.3,1,7,5,44,0,0,0,20.7,20.7
30,Jamaal Charles,KC,RB,12,OAK,20,107,5.4,1,4,3,23,0,0,0,20.5,20.5
30,DeMarco Murray,DAL,RB,9,ARI,24,102,4.2,1,5,4,23,0,0,0,20.5,20.5
30,Jamaal Charles,KC,RB,1,TEN,17,80,4.7,1,7,5,40,0,0,0,20.5,20.5
33,Arian Foster,HOU,RB,17,JAX,25,111,4.4,1,4,3,18,0,0,0,20.4,20.4
33,Matt Forte,CHI,RB,4,GB,18,77,4.3,1,7,5,42,0,0,0,20.4,20.4
35,Marshawn Lynch,SEA,RB,10,NYG,20,93,4.6,1,4,3,35,0,0,0,20.3,20.3
35,LeSean McCoy,PHI,RB,1,JAX,22,101,4.6,1,4,3,27,0,0,0,20.3,20.3
37,DeMarco Murray,DAL,RB,8,WAS,24,109,4.5,1,4,3,17,0,0,0,20.1,20.1
37,Andre Ellington,ARI,RB,7,OAK,19,85,4.5,1,5,4,36,0,0,0,20.1,20.1
37,Le'Veon Bell,PIT,RB,13,NO,20,90,4.5,1,6,4,31,0,0,0,20.1,20.1
37,Le'Veon Bell,PIT,RB,6,CLE,19,92,4.8,0,6,4,29,1,0,0,20.1,20.1
37,Matt Forte,CHI,RB,14,DAL,17,78,4.6,1,7,5,38,0,0,0,20.1,20.1
42,Le'Veon Bell,PIT,RB,5,JAX,19,92,4.8,1,6,4,27,0,0,0,19.9,19.9
43,Joique Bell,DET,RB,6,MIN,15,57,3.8,1,3,2,11,1,0,0,19.8,19.8
43,DeMarco Murray,DAL,RB,3,LAR,21,100,4.8,1,4,3,23,0,0,0,19.8,19.8
43,LeSean McCoy,PHI,RB,3,WAS,20,90,4.5,1,4,3,33,0,0,0,19.8,19.8
43,Marshawn Lynch,SEA,RB,6,DAL,20,102,5.1,1,4,3,21,0,0,0,19.8,19.8
43,CJ Anderson,DEN,RB,14,BUF,17,80,4.7,1,7,5,33,0,0,0,19.8,19.8
43,Arian Foster,HOU,RB,6,IND,20,82,4.1,1,7,5,31,0,0,0,19.8,19.8
43,Le'Veon Bell,PIT,RB,14,CIN,18,74,4.1,1,9,6,34,0,0,0,19.8,19.8
50,Matt Forte,CHI,RB,17,MIN,17,72,4.2,1,7,5,40,0,0,0,19.7,19.7
51,Arian Foster,HOU,RB,15,IND,21,101,4.8,1,4,3,20,0,0,0,19.6,19.6
51,Eddie Lacy,GB,RB,12,MIN,17,79,4.6,1,5,4,37,0,0,0,19.6,19.6
53,LeSean McCoy,PHI,RB,2,IND,19,87,4.6,1,4,3,32,0,0,0,19.4,19.4
53,Marshawn Lynch,SEA,RB,7,LAR,21,102,4.9,1,4,3,17,0,0,0,19.4,19.4
53,CJ Anderson,DEN,RB,17,OAK,21,94,4.5,1,4,3,25,0,0,0,19.4,19.4
56,Marshawn Lynch,SEA,RB,5,WAS,21,109,5.2,1,3,2,14,0,0,0,19.3,19.3
57,Eddie Lacy,GB,RB,14,ATL,20,98,4.9,1,4,3,19,0,0,0,19.2,19.2
58,LeSean McCoy,PHI,RB,10,CAR,22,105,4.8,1,4,3,11,0,0,0,19.1,19.1
58,Marshawn Lynch,SEA,RB,14,PHI,21,93,4.4,1,4,3,23,0,0,0,19.1,19.1
58,Marshawn Lynch,SEA,RB,15,SF,21,94,4.5,1,4,3,22,0,0,0,19.1,19.1
58,Justin Forsett,BAL,RB,13,LAC,20,97,4.8,1,4,3,19,0,0,0,19.1,19.1
58,Jamaal Charles,KC,RB,9,NYJ,17,81,4.8,1,6,4,30,0,0,0,19.1,19.1
