Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,3,NO,18,3,8500,23.98
2,Ezekiel Elliott,DAL,RB,1,SEA,11,16,8800,21.7
3,Ezekiel Elliott,DAL,RB,2,LAR,19,15,8700,21
4,Alvin Kamara,NO,RB,3,LAR,19,15,8100,20.32
5,Todd Gurley,LAR,RB,2,DAL,8,8,9000,20.1
6,Melvin Gordon,LAC,RB,2,NE,15,12,7400,19.4
7,Todd Gurley,LAR,RB,4,NE,15,12,null,19.22
8,Alvin Kamara,NO,RB,2,PHI,20,11,8400,18.3
9,Sony Michel,NE,RB,4,LAR,19,15,null,16.96
10,Melvin Gordon,LAC,RB,1,BAL,2,2,8400,16.9
11,Chris Carson,SEA,RB,1,DAL,8,8,7500,16.4
12,Damien Williams,KC,RB,3,NE,15,12,7200,16
13,Marlon Mack,IND,RB,2,KC,30,30,7300,15.9
14,Damien Williams,KC,RB,2,IND,9,10,6100,15.4
15,James White,NE,RB,3,KC,30,30,7700,14.25
16,Sony Michel,NE,RB,2,LAC,7,21,6600,14.2
17,Jordan Howard,CHI,RB,1,PHI,20,11,7600,14.1
18,Marlon Mack,IND,RB,1,HOU,10,5,7200,14
19,Gus Edwards,BAL,RB,1,LAC,7,21,7200,13.9
20,James White,NE,RB,4,LAR,19,15,null,13.8
21,Mark Ingram,NO,RB,2,PHI,20,11,6400,13.7
22,Rex Burkhead,NE,RB,4,LAR,19,15,null,10.82
23,Mark Ingram,NO,RB,3,LAR,19,15,6100,10.7
24,Sony Michel,NE,RB,3,KC,30,30,7500,10.59
25,CJ Anderson,LAR,RB,4,NE,15,12,null,10.15
26,Lamar Miller,HOU,RB,1,IND,9,10,6400,9
27,James White,NE,RB,2,LAC,7,21,7400,8.8
28,Tarik Cohen,CHI,RB,1,PHI,20,11,7000,8.7
29,Spencer Ware,KC,RB,2,IND,9,10,6500,7.5
30,Darren Sproles,PHI,RB,2,NO,18,3,5400,6.9
31,Kenneth Dixon,BAL,RB,1,LAC,7,21,6800,6.4
32,CJ Anderson,LAR,RB,3,NO,18,3,6500,6.08
