Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Le'Veon Bell,PIT,RB,16,HOU,31,8,9500,22.13
2,Le'Veon Bell,PIT,RB,1,CLE,31,31,9300,21.31
3,David Johnson,ARI,RB,1,DET,24,8,9400,20.86
4,Le'Veon Bell,PIT,RB,10,IND,29,25,9400,20.5
5,Le'Veon Bell,PIT,RB,3,CHI,24,15,8700,20.09
6,Le'Veon Bell,PIT,RB,5,JAX,4,30,9500,20
7,Ezekiel Elliott,DAL,RB,4,LAR,20,31,8500,19.43
8,Le'Veon Bell,PIT,RB,8,DET,16,24,9400,19.31
9,Ezekiel Elliott,DAL,RB,9,KC,26,12,8900,19.25
10,Le'Veon Bell,PIT,RB,15,NE,21,17,9400,19.08
11,Ezekiel Elliott,DAL,RB,5,GB,6,23,8900,19.04
12,Le'Veon Bell,PIT,RB,14,BAL,2,19,8800,18.79
13,Le'Veon Bell,PIT,RB,7,CIN,3,5,9700,18.7
14,LeSean McCoy,BUF,RB,9,NYJ,25,23,8500,18.36
15,Le'Veon Bell,PIT,RB,13,CIN,10,17,9400,18.24
16,Le'Veon Bell,PIT,RB,6,KC,25,7,9000,18.2
17,Le'Veon Bell,PIT,RB,4,BAL,7,18,8600,18.06
18,Todd Gurley,LAR,RB,9,NYG,27,16,9100,18.01
19,LeSean McCoy,BUF,RB,8,OAK,24,22,8400,17.9
20,Ezekiel Elliott,DAL,RB,7,SF,28,31,8700,17.88
21,Kareem Hunt,KC,RB,4,WAS,5,7,8900,17.85
22,Le'Veon Bell,PIT,RB,11,TEN,16,9,9500,17.84
23,Le'Veon Bell,PIT,RB,12,GB,16,26,9400,17.77
24,Todd Gurley,LAR,RB,10,HOU,24,2,9600,17.68
25,Todd Gurley,LAR,RB,16,TEN,20,4,9100,17.65
26,LeSean McCoy,BUF,RB,10,NO,9,13,8300,17.61
27,Le'Veon Bell,PIT,RB,2,MIN,5,7,9000,17.51
28,Kareem Hunt,KC,RB,11,NYG,32,25,8600,17.49
29,Alvin Kamara,NO,RB,16,ATL,14,9,8500,17.45
30,Ezekiel Elliott,DAL,RB,16,SEA,12,12,8300,17.44
31,Ezekiel Elliott,DAL,RB,1,NYG,6,6,8700,17.28
32,Todd Gurley,LAR,RB,12,NO,11,14,8500,17.25
33,Mark Ingram,NO,RB,16,ATL,14,9,8300,17.21
34,Leonard Fournette,JAX,RB,10,LAC,13,26,8700,17.11
35,Alvin Kamara,NO,RB,14,ATL,11,16,9200,17.08
36,LeSean McCoy,BUF,RB,12,KC,23,13,8300,17.06
37,LeSean McCoy,BUF,RB,7,TB,30,16,7900,17.03
38,Ezekiel Elliott,DAL,RB,3,ARI,19,5,8800,16.99
39,Mark Ingram,NO,RB,17,TB,28,24,8400,16.95
40,Alvin Kamara,NO,RB,15,NYJ,23,11,9100,16.89
41,Kareem Hunt,KC,RB,6,PIT,1,30,9300,16.88
42,Kareem Hunt,KC,RB,7,OAK,18,24,9700,16.87
43,LeSean McCoy,BUF,RB,4,ATL,23,29,8300,16.86
44,Todd Gurley,LAR,RB,5,SEA,8,19,7800,16.73
44,Todd Gurley,LAR,RB,15,SEA,8,3,8400,16.73
46,Mark Ingram,NO,RB,15,NYJ,23,11,8300,16.71
47,Ezekiel Elliott,DAL,RB,8,WAS,22,12,9000,16.69
48,Todd Gurley,LAR,RB,13,ARI,19,7,8800,16.64
49,Mark Ingram,NO,RB,11,WAS,23,13,8200,16.59
49,Todd Gurley,LAR,RB,7,ARI,26,7,8400,16.59
51,LeSean McCoy,BUF,RB,11,LAC,13,27,8000,16.5
52,LeSean McCoy,BUF,RB,17,MIA,23,27,8200,16.46
53,Alvin Kamara,NO,RB,17,TB,28,24,8800,16.37
54,LeSean McCoy,BUF,RB,1,NYJ,21,19,8500,16.36
55,Kareem Hunt,KC,RB,5,HOU,9,3,9000,16.34
56,Devonta Freeman,ATL,RB,4,BUF,1,3,8500,16.26
57,Todd Gurley,LAR,RB,1,IND,26,27,7300,16.2
58,Ezekiel Elliott,DAL,RB,17,PHI,6,2,8700,16.11
58,LeSean McCoy,BUF,RB,15,MIA,19,24,8500,16.11
60,Ty Montgomery,GB,RB,4,CHI,12,13,7400,16.1
61,Mark Ingram,NO,RB,9,TB,28,23,7900,16.09
62,Mark Ingram,NO,RB,14,ATL,11,16,8200,16.07
63,Kareem Hunt,KC,RB,12,BUF,19,31,7700,16.03
64,Todd Gurley,LAR,RB,14,PHI,5,2,8500,16.01
65,Kareem Hunt,KC,RB,3,LAC,19,7,8300,15.99
66,Leonard Fournette,JAX,RB,6,LAR,20,32,8600,15.96
67,LeSean McCoy,BUF,RB,5,CIN,3,6,8200,15.94
68,Leonard Fournette,JAX,RB,16,SF,28,24,8100,15.92
68,Kareem Hunt,KC,RB,9,DAL,20,17,9000,15.92
70,Devonta Freeman,ATL,RB,6,MIA,6,8,8500,15.88
71,Melvin Gordon,LAC,RB,16,NYJ,27,16,8500,15.86
72,Todd Gurley,LAR,RB,6,JAX,3,26,8400,15.83
73,LeSean McCoy,BUF,RB,13,NE,25,22,8200,15.81
74,Leonard Fournette,JAX,RB,13,IND,29,23,8700,15.79
75,LeSean McCoy,BUF,RB,14,IND,31,21,9000,15.76
76,Jay Ajayi,MIA,RB,3,NYJ,30,31,8200,15.66
77,Leonard Fournette,JAX,RB,12,ARI,24,11,8100,15.56
77,Mark Ingram,NO,RB,12,LAR,8,30,8200,15.56
79,Devonta Freeman,ATL,RB,15,TB,29,25,7600,15.52
80,Devonta Freeman,ATL,RB,3,DET,8,10,8200,15.44
81,Kenyan Drake,MIA,RB,17,BUF,17,32,7000,15.41
82,Ezekiel Elliott,DAL,RB,2,DEN,1,21,8700,15.4
82,LeSean McCoy,BUF,RB,3,DEN,14,4,8100,15.4
84,Melvin Gordon,LAC,RB,12,DAL,20,23,8400,15.39
85,Mark Ingram,NO,RB,8,CHI,9,11,7200,15.2
