Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Le'Veon Bell,PIT,RB,14,CIN,26,185,7.1,2,9,6,50,1,0,0,44.5,44.5
2,Jonas Gray,NE,RB,11,IND,37,201,5.4,4,0,0,0,0,0,0,44.1,44.1
3,Marshawn Lynch,SEA,RB,10,NYG,21,140,6.7,4,1,1,23,0,1,0,40.8,40.8
4,Arian Foster,HOU,RB,8,TEN,20,151,7.6,2,6,4,22,1,0,0,37.3,37.3
5,Tre Mason,LAR,RB,13,OAK,14,117,8.4,2,4,3,47,1,0,0,35.9,35.9
6,Le'Veon Bell,PIT,RB,13,NO,21,95,4.5,1,11,8,159,0,0,0,35.4,35.4
7,DeMarco Murray,DAL,RB,14,CHI,32,179,5.6,1,10,9,49,0,0,0,33.3,33.3
8,Matt Forte,CHI,RB,6,ATL,17,80,4.7,2,13,10,77,0,0,0,32.7,32.7
9,Branden Oliver,LAC,RB,5,NYJ,19,114,6,1,4,4,68,1,0,0,32.2,32.2
10,Justin Forsett,BAL,RB,12,NO,22,182,8.3,2,2,2,8,0,0,0,32,32
11,Jamaal Charles,KC,RB,4,NE,18,92,5.1,1,3,3,16,2,0,0,30.3,30.3
12,Arian Foster,HOU,RB,5,DAL,23,157,6.8,2,5,2,15,0,0,0,30.2,30.2
13,CJ Anderson,DEN,RB,17,OAK,13,87,6.7,3,3,2,20,0,1,0,29.7,29.7
14,Matt Asiata,MIN,RB,4,ATL,20,78,3.9,3,4,3,22,0,0,0,29.5,29.5
15,Le'Veon Bell,PIT,RB,11,TEN,33,204,6.2,1,4,2,18,0,0,0,29.2,29.2
16,Jeremy Hill,CIN,RB,9,JAX,24,154,6.4,2,1,1,9,0,0,0,28.8,28.8
16,Jamaal Charles,KC,RB,11,SEA,20,159,8,2,2,2,19,0,1,1,28.8,28.8
16,Marshawn Lynch,SEA,RB,9,OAK,21,67,3.2,2,5,5,76,0,0,0,28.8,28.8
19,Le'Veon Bell,PIT,RB,1,CLE,21,109,5.2,1,7,6,88,0,0,0,28.7,28.7
20,Andre Ellington,ARI,RB,5,DEN,16,32,2,1,7,4,112,1,0,0,28.4,28.4
21,DeMarco Murray,DAL,RB,4,NO,24,149,6.2,2,1,1,6,0,0,0,28,28
22,Joique Bell,DET,RB,14,TB,18,83,4.6,1,5,5,50,1,0,0,27.8,27.8
22,Matt Forte,CHI,RB,8,NE,19,114,6,0,8,6,54,1,0,0,27.8,27.8
24,Jeremy Hill,CIN,RB,15,CLE,25,148,5.9,2,1,1,4,0,2,0,27.7,27.7
24,Matt Asiata,MIN,RB,9,WAS,10,26,2.6,3,5,4,31,0,0,0,27.7,27.7
26,Arian Foster,HOU,RB,6,IND,20,109,5.4,2,4,3,32,0,0,0,27.6,27.6
27,CJ Anderson,DEN,RB,12,MIA,27,167,6.2,1,4,4,28,0,0,0,27.5,27.5
28,Darren Sproles,PHI,RB,2,IND,4,26,6.5,1,7,7,152,0,0,0,27.3,27.3
29,Pierre Thomas,NO,RB,5,TB,4,35,8.8,1,10,8,77,1,0,0,27.2,27.2
30,Eddie Lacy,GB,RB,12,MIN,25,125,5,1,2,2,13,1,0,0,26.8,26.8
31,Eddie Lacy,GB,RB,5,MIN,13,105,8.1,2,3,3,27,0,0,0,26.7,26.7
32,Matt Forte,CHI,RB,5,CAR,17,61,3.6,0,12,12,105,1,1,1,26.6,26.6
33,Le'Veon Bell,PIT,RB,15,ATL,20,47,2.4,2,7,5,72,0,0,0,26.4,26.4
34,Marshawn Lynch,SEA,RB,3,DEN,26,88,3.4,1,5,3,40,1,0,0,26.3,26.3
35,Shane Vereen,NE,RB,7,NYJ,11,43,3.9,0,8,5,71,2,0,0,25.9,25.9
35,Matt Forte,CHI,RB,7,MIA,12,49,4.1,1,7,6,60,1,0,0,25.9,25.9
37,Matt Forte,CHI,RB,12,TB,23,89,3.9,2,6,5,23,0,0,0,25.7,25.7
38,CJ Anderson,DEN,RB,13,KC,32,168,5.2,0,3,2,17,1,0,0,25.5,25.5
38,Knile Davis,KC,RB,2,DEN,22,79,3.6,2,9,6,26,0,1,0,25.5,25.5
40,Giovani Bernard,CIN,RB,2,ATL,27,90,3.3,1,6,5,79,0,0,0,25.4,25.4
41,Eddie Lacy,GB,RB,14,ATL,13,73,5.6,1,9,5,33,1,0,0,25.1,25.1
42,Marshawn Lynch,SEA,RB,1,GB,20,110,5.5,2,1,1,14,0,0,0,24.9,24.9
42,Eddie Lacy,GB,RB,11,PHI,10,69,6.9,1,4,3,45,1,0,0,24.9,24.9
44,Le'Veon Bell,PIT,RB,7,HOU,12,57,4.8,0,8,8,88,1,0,0,24.5,24.5
45,Ronnie Hillman,DEN,RB,7,SF,14,74,5.3,2,4,4,29,0,0,0,24.3,24.3
45,CJ Anderson,DEN,RB,10,OAK,13,90,6.9,0,7,4,73,1,0,0,24.3,24.3
47,Jamaal Charles,KC,RB,14,ARI,10,91,9.1,1,4,2,20,1,0,0,24.1,24.1
47,Ahmad Bradshaw,IND,RB,2,PHI,13,70,5.4,0,5,5,26,2,0,0,24.1,24.1
49,Mark Ingram,NO,RB,8,GB,24,172,7.2,1,2,1,3,0,0,0,24,24
50,Frank Gore,SF,RB,4,PHI,24,119,5,0,2,1,55,1,0,0,23.9,23.9
50,Alfred Morris,WAS,RB,9,MIN,19,92,4.8,2,3,2,17,0,0,0,23.9,23.9
52,Lamar Miller,MIA,RB,17,NYJ,19,178,9.4,1,2,0,0,0,0,0,23.8,23.8
52,CJ Anderson,DEN,RB,14,BUF,21,58,2.8,3,0,0,0,0,0,0,23.8,23.8
52,CJ Anderson,DEN,RB,16,CIN,18,83,4.6,1,10,8,55,0,0,0,23.8,23.8
55,Joique Bell,DET,RB,13,CHI,23,91,4,2,2,2,16,0,0,0,23.7,23.7
55,Giovani Bernard,CIN,RB,6,CAR,18,137,7.6,1,5,4,20,0,0,0,23.7,23.7
57,Rashad Jennings,NYG,RB,3,HOU,34,176,5.2,1,0,0,0,0,0,0,23.6,23.6
57,DeMarco Murray,DAL,RB,6,SEA,29,115,4,1,6,6,31,0,0,0,23.6,23.6
59,Mark Ingram,NO,RB,9,CAR,30,100,3.3,2,2,1,10,0,0,0,23.5,23.5
59,Lamar Miller,MIA,RB,16,MIN,19,92,4.8,1,7,5,58,0,0,0,23.5,23.5
61,Marshawn Lynch,SEA,RB,16,ARI,10,113,11.3,2,0,0,0,0,0,0,23.3,23.3
62,Latavius Murray,OAK,RB,12,KC,4,112,28,2,0,0,0,0,1,0,23.2,23.2
62,Justin Forsett,BAL,RB,10,TEN,20,112,5.6,2,1,0,0,0,0,0,23.2,23.2
62,Matt Asiata,MIN,RB,16,MIA,16,58,3.6,2,4,3,19,0,0,0,23.2,23.2
65,Jamaal Charles,KC,RB,8,LAR,14,67,4.8,2,4,4,44,0,1,1,23.1,23.1
66,Rashad Jennings,NYG,RB,13,JAX,26,91,3.5,2,5,3,3,0,0,0,22.9,22.9
67,Andre Williams,NYG,RB,14,TEN,24,131,5.5,1,5,3,16,0,0,0,22.2,22.2
67,Eddie Lacy,GB,RB,8,NO,13,59,4.5,0,9,8,123,0,0,0,22.2,22.2
69,DeMarco Murray,DAL,RB,8,WAS,19,141,7.4,0,4,4,80,0,1,1,22.1,22.1
70,Arian Foster,HOU,RB,2,OAK,28,138,4.9,1,3,2,12,0,0,0,22,22
71,Frank Gore,SF,RB,16,LAC,26,158,6.1,1,0,0,0,0,0,0,21.8,21.8
71,DeMarco Murray,DAL,RB,2,TEN,29,167,5.8,1,2,1,6,0,1,1,21.8,21.8
71,Arian Foster,HOU,RB,14,JAX,24,127,5.3,1,4,2,21,0,0,0,21.8,21.8
71,Ronnie Hillman,DEN,RB,9,NE,10,16,1.6,1,10,7,47,1,0,0,21.8,21.8
75,Joe McKnight,KC,RB,3,MIA,1,3,3,0,7,6,64,2,0,0,21.7,21.7
76,Jonathan Stewart,CAR,RB,14,NO,20,155,7.8,1,1,0,0,0,0,0,21.5,21.5
77,Andre Ellington,ARI,RB,9,DAL,21,95,4.5,0,4,4,39,1,0,0,21.4,21.4
78,Fred Jackson,BUF,RB,3,LAC,6,34,5.7,0,10,8,78,1,0,0,21.2,21.2
79,DeMarco Murray,DAL,RB,15,PHI,31,81,2.6,2,1,1,3,0,0,0,20.9,20.9
79,Matt Forte,CHI,RB,1,BUF,17,82,4.8,0,9,8,87,0,0,0,20.9,20.9
81,Isaiah Crowell,CLE,RB,12,ATL,12,88,7.3,2,0,0,0,0,0,0,20.8,20.8
82,Knile Davis,KC,RB,15,OAK,9,11,1.2,1,2,1,70,1,0,0,20.6,20.6
83,Alfred Morris,WAS,RB,2,JAX,22,85,3.9,2,0,0,0,0,0,0,20.5,20.5
83,Chris Ivory,NYJ,RB,7,NE,21,107,5.1,1,4,4,18,0,0,0,20.5,20.5
83,Matt Forte,CHI,RB,11,MIN,26,117,4.5,0,6,6,58,0,0,0,20.5,20.5
86,Branden Oliver,LAC,RB,6,OAK,26,101,3.9,1,5,4,23,0,0,0,20.4,20.4
87,Ahmad Bradshaw,IND,RB,7,CIN,10,52,5.2,1,3,3,36,1,1,1,20.3,20.3
87,DeMarco Murray,DAL,RB,13,PHI,20,73,3.6,1,6,6,40,0,0,0,20.3,20.3
89,Jamaal Charles,KC,RB,12,OAK,19,80,4.2,0,7,4,42,1,1,0,20.2,20.2
89,Marshawn Lynch,SEA,RB,5,WAS,17,72,4.2,0,6,5,45,1,0,0,20.2,20.2
89,DeMarco Murray,DAL,RB,5,HOU,31,136,4.4,0,8,6,56,0,1,1,20.2,20.2
92,Matt Forte,CHI,RB,14,DAL,13,26,2,1,9,8,74,0,1,1,20,20
93,LeSean McCoy,PHI,RB,13,DAL,25,159,6.4,1,0,0,0,0,1,1,19.9,19.9
93,Jonathan Stewart,CAR,RB,16,CLE,24,122,5.1,0,4,2,7,1,0,0,19.9,19.9
93,Lorenzo Taliaferro,BAL,RB,8,CIN,7,27,3.9,2,3,2,42,0,0,0,19.9,19.9
96,LeGarrette Blount,NE,RB,12,DET,12,78,6.5,2,0,0,0,0,0,0,19.8,19.8
96,Ben Tate,CLE,RB,6,PIT,25,78,3.1,2,0,0,0,0,0,0,19.8,19.8
96,DeMarco Murray,DAL,RB,1,SF,22,118,5.4,1,4,3,25,0,1,1,19.8,19.8
99,DeMarco Murray,DAL,RB,7,NYG,28,128,4.6,1,1,1,4,0,0,0,19.7,19.7
100,LeSean McCoy,PHI,RB,12,TEN,21,130,6.2,1,1,1,1,0,0,0,19.6,19.6
