Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Travis Kelce,KC,TE,2,IND,9.73,7,70,84,1,0,8.4,12,0,0,0,0,0,0,17.9,17.9
2,Zach Ertz,PHI,TE,1,CHI,10.38,6,60,61,1,0,6.1,10.2,0,0,0,0,0,0,15.1,15.1
3,Travis Kelce,KC,TE,3,NE,8.89,6.4,66.7,83.5,0.6,0,9.3,14,0,0,0,0,0.1,0.1,15,14.95
4,Eric Ebron,IND,TE,1,HOU,6.85,5,71.4,61,1,0,8.7,12.2,0,0,0,0,0,0,14.6,14.6
5,Rob Gronkowski,NE,TE,4,LAR,9.91,5.8,60,78.2,0.6,0,7.8,13,0,0,0,0,0.1,0.1,14.1,14.12
6,Eric Ebron,IND,TE,2,KC,6.85,5,71.4,55,1,0,7.9,11,0,0,0,0,0,0,14,14
7,Zach Ertz,PHI,TE,2,NO,12.11,7,58.3,66,0,0,5.5,9.4,0,0,0,0,0,0,10.1,10.1
8,Gerald Everett,LAR,TE,4,NE,3.61,2.1,50,42.3,0.6,0,10.5,21,0,0,0,0,0,0,8.9,8.88
9,Rob Gronkowski,NE,TE,3,KC,6.15,3.6,66.7,52.5,0.2,0,8.7,13,0,0,0,0,0.1,0.1,8,8.05
10,Rob Gronkowski,NE,TE,2,LAC,6.84,4,57.1,52,0,0,7.4,13,0,0,0,0,0,0,7.2,7.2
11,Trey Burton,CHI,TE,1,PHI,4.26,3,75,32,0,0,8,10.7,0,0,0,0,0,0,4.7,4.7
11,Blake Jarwin,DAL,TE,1,SEA,4.71,3,60,32,0,0,6.4,10.7,0,0,0,0,0,0,4.7,4.7
13,Gerald Everett,LAR,TE,3,NO,3.61,2.1,50,20,0.2,0,5,10,0,0,0,0,0,0,4.2,4.25
14,Benjamin Watson,NO,TE,3,LAR,3.23,2.2,66.7,25,0.1,0,8.3,12.5,0,0,0,0,0,0,4.2,4.2
15,Blake Jarwin,DAL,TE,2,LAR,4.71,3,60,26,0,0,5.2,8.7,0,0,0,0,0,0,4.1,4.1
16,Tyler Higbee,LAR,TE,4,NE,2.81,2.1,66.7,22.3,0.1,0,7.3,11,0,0,0,0,0.1,0.1,3.7,3.68
17,Ryan Griffin,HOU,TE,1,IND,2.86,2,66.7,26,0,0,8.7,13,0,0,0,0,0,0,3.6,3.6
18,Mark Andrews,BAL,TE,1,LAC,2.9,2,66.7,24,0,0,8,12,0,0,0,0,0,0,3.4,3.4
19,Hunter Henry,LAC,TE,1,BAL,2.92,2,66.7,23,0,0,7.7,11.5,0,0,0,0,0,0,3.3,3.3
20,Gerald Everett,LAR,TE,2,DAL,3.44,2,66.7,22,0,0,7.3,11,0,0,0,0,0,0,3.2,3.2
20,Dallas Goedert,PHI,TE,2,NO,3.26,2,66.7,22,0,0,7.3,11,0,0,0,0,0,0,3.2,3.2
22,Hunter Henry,LAC,TE,2,NE,2.92,2,66.7,21,0,0,7,10.5,0,0,0,0,0,0,3.1,3.1
23,Nick Vannett,SEA,TE,1,DAL,2.9,2,66.7,20,0,0,6.7,10,0,0,0,0,0,0,3,3
24,Tyler Higbee,LAR,TE,3,NO,2.01,1.5,100,18.3,0.1,0,9,9,0,0,0,0,0.1,0.1,3,2.98
25,Dallas Goedert,PHI,TE,1,CHI,3.26,2,66.7,19,0,0,6.3,9.5,0,0,0,0,0,0,2.9,2.9
25,Benjamin Watson,NO,TE,2,PHI,2.94,2,66.7,19,0,0,6.3,9.5,0,0,0,0,0,0,2.9,2.9
25,Tyler Higbee,LAR,TE,2,DAL,2.68,2,66.7,19,0,0,6.3,9.5,0,0,0,0,0,0,2.9,2.9
28,Jordan Thomas,HOU,TE,1,IND,3.28,2,66.7,18,0,0,6,9,0,0,0,0,0,0,2.8,2.8
29,Ed Dickson,SEA,TE,1,DAL,3.36,2,66.7,17,0,0,5.7,8.5,0,0,0,0,0,0,2.7,2.7
29,Hayden Hurst,BAL,TE,1,LAC,2.8,2,66.7,17,0,0,5.7,8.5,0,0,0,0,0,0,2.7,2.7
29,Antonio Gates,LAC,TE,2,NE,3.12,2,66.7,17,0,0,5.7,8.5,0,0,0,0,0,0,2.7,2.7
32,Demetrius Harris,KC,TE,3,NE,1.21,0.8,100,10.9,0.2,0,11,11,0,0,0,0,0,0,2.7,2.69
33,Josh Hill,NO,TE,3,LAR,1.56,1,50,11.6,0.1,0,6,12,0,0,0,0,0,0,2.3,2.26
34,Mo Alie-Cox,IND,TE,1,HOU,1.58,1,50,17,0,0,8.5,17,0,0,0,0,0,0,2.2,2.2
35,Mo Alie-Cox,IND,TE,2,KC,1.58,1,50,16,0,0,8,16,0,0,0,0,0,0,2.1,2.1
36,Jordan Akins,HOU,TE,1,IND,1.57,1,50,15,0,0,7.5,15,0,0,0,0,0,0,2,2
37,Demetrius Harris,KC,TE,2,IND,1.52,1,50,13,0,0,6.5,13,0,0,0,0,0,0,1.8,1.8
38,Antonio Gates,LAC,TE,1,BAL,1.56,1,50,12,0,0,6,12,0,0,0,0,0,0,1.7,1.7
38,Virgil Green,LAC,TE,2,NE,1.6,1,50,12,0,0,6,12,0,0,0,0,0,0,1.7,1.7
38,Josh Hill,NO,TE,2,PHI,1.56,1,50,12,0,0,6,12,0,0,0,0,0,0,1.7,1.7
41,Virgil Green,LAC,TE,1,BAL,1.6,1,50,10,0,0,5,10,0,0,0,0,0,0,1.5,1.5
41,Dalton Schultz,DAL,TE,2,LAR,1.51,1,50,10,0,0,5,10,0,0,0,0,0,0,1.5,1.5
43,Nick Boyle,BAL,TE,1,LAC,1.75,1,50,9,0,0,4.5,9,0,0,0,0,0,0,1.4,1.4
43,Dalton Schultz,DAL,TE,1,SEA,1.51,1,50,9,0,0,4.5,9,0,0,0,0,0,0,1.4,1.4
43,Dan Arnold,NO,TE,2,PHI,1.34,1,100,9,0,0,9,9,0,0,0,0,0,0,1.4,1.4
