Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Travis Kelce,KC,TE,14,BAL,9.03,6.5,66.7,83.2,0.7,0,9.2,13.8,0,0,0,0,0,0,15.8,15.77
2,Travis Kelce,KC,TE,13,OAK,8.89,6.4,66.7,83.4,0.7,0,9.2,13.8,0,0,0,0,0,0,15.7,15.74
3,Travis Kelce,KC,TE,15,LAC,8.89,6.4,66.7,81.6,0.7,0,9.1,13.7,0,0,0,0,0,0,15.6,15.56
4,Travis Kelce,KC,TE,17,OAK,8.75,6.3,66.7,81.8,0.7,0,9.1,13.7,0,0,0,0,0.1,0.1,15.3,15.33
5,Travis Kelce,KC,TE,16,SEA,9.03,6.5,66.7,81.5,0.6,0,9.1,13.7,0,0,0,0,0,0,15,15
6,Rob Gronkowski,NE,TE,1,HOU,9.06,5.3,55.6,74.8,0.7,0,8.3,15,0,0,0,0,0,0,14.3,14.33
7,Travis Kelce,KC,TE,11,LAR,8.2,5.9,75,75.7,0.6,0,9.5,12.7,0,0,0,0,0,0,14.1,14.12
8,Zach Ertz,PHI,TE,11,NO,12.11,7,58.3,75.7,0.5,0,6.3,10.9,0,0,0,0,0,0,14.1,14.07
9,Travis Kelce,KC,TE,10,ARI,7.78,5.6,75,75.1,0.6,0,9.4,12.5,0,0.1,0,0,0,0,13.9,13.92
10,Rob Gronkowski,NE,TE,3,DET,8.89,5.2,55.6,73.9,0.6,0,8.2,14.8,0,0.1,0,0,0,0,13.6,13.6
11,Zach Ertz,PHI,TE,14,DAL,11.41,6.6,63.6,71.9,0.5,0,6.5,10.3,0,0,0,0,0,0,13.5,13.49
12,Travis Kelce,KC,TE,8,DEN,7.92,5.7,75,75.7,0.5,0,9.5,12.7,0,0,0,0,0,0,13.4,13.42
13,Zach Ertz,PHI,TE,12,NYG,11.41,6.6,63.6,70.6,0.5,0,6.5,10.1,0,0,0,0,0,0,13.4,13.36
14,Travis Kelce,KC,TE,6,NE,7.92,5.7,75,74.6,0.5,0,9.4,12.5,0.1,0.1,0,0,0,0,13.3,13.32
15,Travis Kelce,KC,TE,4,DEN,7.64,5.5,75,74.6,0.5,0,9.4,12.5,0.1,0.1,0,0,0,0,13.2,13.22
16,Zach Ertz,PHI,TE,7,CAR,11.07,6.4,54.5,70,0.5,0,6.4,11.7,0,0,0,0,0,0,13.2,13.2
17,Travis Kelce,KC,TE,7,CIN,7.92,5.7,75,73,0.5,0,9.1,12.2,0.1,0.1,0,0,0,0,13.2,13.16
18,George Kittle,SF,TE,17,LAR,9.29,5.6,66.7,78.7,0.4,0,8.8,13.2,0,0.1,0,0,0,0,13.1,13.08
19,Travis Kelce,KC,TE,9,CLE,7.64,5.5,75,72.9,0.5,0,9.1,12.2,0,0,0,0,0,0,13,13.04
20,Rob Gronkowski,NE,TE,2,JAX,8.37,4.9,62.5,71.7,0.6,0,9,14.4,0,0,0,0,0.1,0.1,13,13.02
21,Zach Ertz,PHI,TE,13,WAS,10.55,6.1,54.5,68.1,0.5,0,6.2,11.3,0,0,0,0,0,0,12.9,12.86
22,Zach Ertz,PHI,TE,8,JAX,11.59,6.7,58.3,71,0.4,0,5.9,10.1,0,0,0,0,0,0,12.8,12.85
23,George Kittle,SF,TE,15,SEA,9.13,5.5,66.7,75.1,0.4,0,8.3,12.5,0,0.2,0,0,0,0,12.7,12.68
24,Zach Ertz,PHI,TE,17,WAS,10.89,6.3,54.5,67,0.5,0,6.1,11.2,0,0,0,0,0.1,0.1,12.6,12.65
25,Zach Ertz,PHI,TE,15,LAR,11.24,6.5,54.5,69,0.4,0,6.3,11.5,0,0,0,0,0,0,12.6,12.55
26,Travis Kelce,KC,TE,1,LAC,7.64,5.5,75,66.9,0.5,0,8.4,11.2,0,0.1,0,0,0,0,12.4,12.45
27,Zach Ertz,PHI,TE,16,HOU,10.38,6,60,64,0.5,0,6.4,10.7,0,0,0,0,0,0,12.4,12.4
28,Travis Kelce,KC,TE,3,SF,7.22,5.2,71.4,67.3,0.5,0,9.6,13.4,0.1,0.2,0,0,0,0,12.4,12.35
29,Zach Ertz,PHI,TE,6,NYG,11.07,6.4,54.5,67.2,0.4,0,6.1,11.2,0,0,0,0,0,0,12.3,12.32
30,Travis Kelce,KC,TE,5,JAX,7.36,5.3,71.4,66.4,0.5,0,9.4,13.2,0.1,0.1,0,0,0,0,12.3,12.3
31,Rob Gronkowski,NE,TE,4,MIA,8.2,4.8,62.5,67.8,0.5,0,8.5,13.6,0,0,0,0,0,0,12.2,12.18
32,Eric Ebron,IND,TE,14,HOU,7.12,5.2,71.4,57.9,0.6,0,8.3,11.6,0.2,1.2,0,0,0,0,12.1,12.11
33,George Kittle,SF,TE,12,TB,8.79,5.3,55.6,70.4,0.4,0,7.8,14,0,0.1,0,0,0,0,12.1,12.1
34,Zach Ertz,PHI,TE,3,IND,10.55,6.1,54.5,65.7,0.4,0,6,11,0,0.1,0,0,0,0,12,12.03
35,George Kittle,SF,TE,13,SEA,8.96,5.4,55.6,68.7,0.4,0,7.7,13.8,0,0.5,0,0,0,0,12,12.02
36,Zach Ertz,PHI,TE,5,MIN,10.38,6,60,65.9,0.4,0,6.6,11,0,0,0,0,0,0,12,11.99
37,Rob Gronkowski,NE,TE,6,KC,8.2,4.8,62.5,65.3,0.5,0,8.1,13,0,0,0,0,0,0,11.9,11.93
38,Zach Ertz,PHI,TE,10,DAL,10.2,5.9,60,65.2,0.4,0,6.5,10.8,0,0,0,0,0,0,11.9,11.87
39,George Kittle,SF,TE,14,DEN,8.96,5.4,55.6,67.2,0.4,0,7.4,13.4,0,0.2,0,0,0,0,11.8,11.84
40,Eric Ebron,IND,TE,15,DAL,6.85,5,71.4,56,0.6,0,8,11.2,0.2,0.9,0,0,0,0,11.8,11.79
41,Zach Ertz,PHI,TE,1,ATL,9.34,5.4,55.6,60.1,0.5,0,6.7,12,0,0,0,0,0.1,0.1,11.5,11.51
42,Zach Ertz,PHI,TE,4,TEN,9.86,5.7,60,62.3,0.4,0,6.2,10.3,0,0,0,0,0,0,11.5,11.48
43,George Kittle,SF,TE,16,CHI,8.79,5.3,55.6,69.8,0.3,0,7.8,14,0,0.1,0,0,0,0,11.4,11.44
