Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Travis Kelce,KC,TE,2,IND,9,27,7500,17.9
2,Zach Ertz,PHI,TE,1,CHI,1,9,7600,15.1
3,Travis Kelce,KC,TE,3,NE,15,18,7400,14.95
4,Eric Ebron,IND,TE,1,HOU,10,31,6600,14.6
5,Rob Gronkowski,NE,TE,4,LAR,19,25,null,14.12
6,Eric Ebron,IND,TE,2,KC,30,32,6600,14
7,Zach Ertz,PHI,TE,2,NO,18,12,7400,10.1
8,Gerald Everett,LAR,TE,4,NE,15,18,null,8.88
9,Rob Gronkowski,NE,TE,3,KC,30,32,5600,8.05
10,Rob Gronkowski,NE,TE,2,LAC,7,14,6200,7.2
11,Blake Jarwin,DAL,TE,1,SEA,11,5,5800,4.7
11,Trey Burton,CHI,TE,1,PHI,20,3,6200,4.7
13,Gerald Everett,LAR,TE,3,NO,18,12,4400,4.25
14,Benjamin Watson,NO,TE,3,LAR,19,25,4800,4.2
15,Blake Jarwin,DAL,TE,2,LAR,19,25,5400,4.1
16,Tyler Higbee,LAR,TE,4,NE,15,18,null,3.68
17,Ryan Griffin,HOU,TE,1,IND,9,27,4100,3.6
18,Mark Andrews,BAL,TE,1,LAC,7,14,5900,3.4
19,Hunter Henry,LAC,TE,1,BAL,2,17,4900,3.3
20,Gerald Everett,LAR,TE,2,DAL,8,22,4800,3.2
20,Dallas Goedert,PHI,TE,2,NO,18,12,5600,3.2
22,Hunter Henry,LAC,TE,2,NE,15,18,4900,3.1
23,Nick Vannett,SEA,TE,1,DAL,8,22,4800,3
24,Tyler Higbee,LAR,TE,3,NO,18,12,4500,2.98
25,Dallas Goedert,PHI,TE,1,CHI,1,9,5400,2.9
25,Tyler Higbee,LAR,TE,2,DAL,8,22,4200,2.9
25,Benjamin Watson,NO,TE,2,PHI,20,3,5000,2.9
28,Jordan Thomas,HOU,TE,1,IND,9,27,4600,2.8
29,Ed Dickson,SEA,TE,1,DAL,8,22,4800,2.7
29,Hayden Hurst,BAL,TE,1,LAC,7,14,4800,2.7
29,Antonio Gates,LAC,TE,2,NE,15,18,4900,2.7
32,Demetrius Harris,KC,TE,3,NE,15,18,4000,2.69
33,Josh Hill,NO,TE,3,LAR,19,25,4600,2.26
34,Mo Alie-Cox,IND,TE,1,HOU,10,31,4400,2.2
35,Mo Alie-Cox,IND,TE,2,KC,30,32,4300,2.1
36,Jordan Akins,HOU,TE,1,IND,9,27,4200,2
37,Demetrius Harris,KC,TE,2,IND,9,27,4000,1.8
38,Antonio Gates,LAC,TE,1,BAL,2,17,4900,1.7
38,Virgil Green,LAC,TE,2,NE,15,18,4100,1.7
38,Josh Hill,NO,TE,2,PHI,20,3,4300,1.7
41,Virgil Green,LAC,TE,1,BAL,2,17,4100,1.5
41,Dalton Schultz,DAL,TE,2,LAR,19,25,4000,1.5
43,Dalton Schultz,DAL,TE,1,SEA,11,5,4000,1.4
43,Nick Boyle,BAL,TE,1,LAC,7,14,4300,1.4
43,Dan Arnold,NO,TE,2,PHI,20,3,4000,1.4
46,Maxx Williams,BAL,TE,1,LAC,7,14,4000,1.3
46,Adam Shaheen,CHI,TE,1,PHI,20,3,4300,1.3
48,Dwayne Allen,NE,TE,2,LAC,7,14,4100,1
49,Sean Culkin,LAC,TE,2,NE,15,18,4000,0.9
50,Ryan Hewitt,IND,TE,2,KC,30,32,4000,0.8
50,Jacob Hollister,NE,TE,2,LAC,7,14,4000,0.8
50,Rico Gathers,DAL,TE,2,LAR,19,25,4000,0.8
50,Richard Rodgers,PHI,TE,2,NO,18,12,4000,0.8
54,Dwayne Allen,NE,TE,4,LAR,19,25,null,0.72
55,Joshua Perkins,PHI,TE,2,NO,18,12,null,0.7
56,Johnny Mundt,LAR,TE,2,DAL,8,22,4000,0.6
57,Rico Gathers,DAL,TE,1,SEA,11,5,4000,0.3
57,Tyrone Swoopes,SEA,TE,1,DAL,8,22,4000,0.3
57,Sean Culkin,LAC,TE,1,BAL,2,17,4000,0.3
57,Richard Rodgers,PHI,TE,1,CHI,1,9,4000,0.3
57,Ryan Hewitt,IND,TE,1,HOU,10,31,4000,0.3
62,Dion Sims,CHI,TE,1,PHI,20,3,4000,0.2
62,Ben Braunecker,CHI,TE,1,PHI,20,3,4000,0.2
62,Joshua Perkins,PHI,TE,1,CHI,1,9,null,0.2
65,Geoff Swaim,DAL,TE,1,SEA,11,5,null,0
