Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Rob Gronkowski,NE,TE,17,NYJ,26,26,8500,14.81
2,Rob Gronkowski,NE,TE,16,BUF,13,21,8400,14.75
3,Rob Gronkowski,NE,TE,2,NO,30,15,8100,14.44
4,Rob Gronkowski,NE,TE,11,OAK,24,23,8200,14.15
5,Rob Gronkowski,NE,TE,10,DEN,15,31,8400,14.12
6,Rob Gronkowski,NE,TE,13,BUF,14,21,8100,13.96
7,Rob Gronkowski,NE,TE,12,MIA,21,27,7700,13.49
8,Rob Gronkowski,NE,TE,4,CAR,3,3,8500,13.41
9,Rob Gronkowski,NE,TE,15,PIT,4,2,8500,13.24
10,Rob Gronkowski,NE,TE,1,KC,11,5,8000,13.11
11,Rob Gronkowski,NE,TE,7,ATL,17,5,8500,13.02
12,Travis Kelce,KC,TE,14,OAK,23,25,8000,12.92
13,Zach Ertz,PHI,TE,7,WAS,15,30,7200,12.79
14,Rob Gronkowski,NE,TE,8,LAC,12,2,8400,12.77
15,Travis Kelce,KC,TE,11,NYG,32,32,7500,12.67
16,Travis Kelce,KC,TE,15,LAC,3,5,7700,12.63
17,Rob Gronkowski,NE,TE,6,NYJ,15,9,8000,12.6
18,Travis Kelce,KC,TE,16,MIA,18,27,7000,12.57
19,Zach Ertz,PHI,TE,11,DAL,17,15,8000,12.47
20,Travis Kelce,KC,TE,12,BUF,19,19,7500,12.26
21,Rob Gronkowski,NE,TE,3,HOU,7,6,8400,12.19
22,Evan Engram,NYG,TE,11,KC,28,12,7400,12.07
23,Zach Ertz,PHI,TE,8,SF,29,3,7300,12.01
24,Travis Kelce,KC,TE,13,NYJ,16,25,7000,12
25,Evan Engram,NYG,TE,12,WAS,29,30,7600,11.79
26,Evan Engram,NYG,TE,10,SF,30,5,7400,11.69
27,Travis Kelce,KC,TE,1,NE,2,6,6500,11.68
27,Zach Ertz,PHI,TE,13,SEA,6,20,7500,11.68
29,Travis Kelce,KC,TE,9,DAL,20,4,7000,11.64
30,Greg Olsen,CAR,TE,2,BUF,17,7,6500,11.61
30,Travis Kelce,KC,TE,2,PHI,10,2,6700,11.61
32,Travis Kelce,KC,TE,7,OAK,18,16,7400,11.6
33,Greg Olsen,CAR,TE,1,SF,32,18,6600,11.41
34,Zach Ertz,PHI,TE,15,NYG,32,32,7900,11.32
35,Travis Kelce,KC,TE,6,PIT,1,7,7200,11.29
36,Zach Ertz,PHI,TE,5,ARI,13,3,6600,11.11
37,Zach Ertz,PHI,TE,12,CHI,12,3,7600,11
38,Zach Ertz,PHI,TE,16,OAK,23,25,7800,10.97
38,Travis Kelce,KC,TE,3,LAC,19,15,7100,10.97
40,Jimmy Graham,SEA,TE,12,SF,32,8,7000,10.96
41,Jordan Reed,WAS,TE,2,LAR,15,9,6400,10.94
42,Zach Ertz,PHI,TE,6,CAR,7,9,7000,10.88
43,Jimmy Graham,SEA,TE,13,PHI,5,13,6700,10.87
44,Zach Ertz,PHI,TE,4,LAC,19,7,6900,10.67
45,Travis Kelce,KC,TE,4,WAS,5,28,7400,10.66
46,Travis Kelce,KC,TE,5,HOU,9,15,7000,10.53
47,Travis Kelce,KC,TE,8,DEN,6,28,7200,10.5
48,Jordan Reed,WAS,TE,1,PHI,10,2,7100,10.46
49,Evan Engram,NYG,TE,16,ARI,15,12,6600,10.42
50,Evan Engram,NYG,TE,14,DAL,24,18,6600,10.41
51,Kyle Rudolph,MIN,TE,1,NO,30,15,7400,10.31
52,Greg Olsen,CAR,TE,16,TB,29,3,6600,10.26
53,Jimmy Graham,SEA,TE,2,SF,32,18,6300,10.24
54,Evan Engram,NYG,TE,9,LAR,11,6,6300,10.17
55,Delanie Walker,TEN,TE,6,IND,31,26,6400,10.16
56,Zach Ertz,PHI,TE,3,NYG,15,26,6500,10.13
57,Jimmy Graham,SEA,TE,11,ATL,10,3,6900,10.08
58,Jimmy Graham,SEA,TE,15,LAR,14,19,6700,9.98
59,Jimmy Graham,SEA,TE,9,WAS,19,29,6200,9.97
60,Jordan Reed,WAS,TE,8,DAL,23,8,6100,9.9
61,Vernon Davis,WAS,TE,12,NYG,32,32,6400,9.89
61,Delanie Walker,TEN,TE,12,IND,30,18,5900,9.89
63,Hunter Henry,LAC,TE,8,NE,31,26,5500,9.86
64,Jimmy Graham,SEA,TE,16,DAL,19,18,6800,9.8
65,Jimmy Graham,SEA,TE,10,ARI,26,15,6400,9.74
65,Jimmy Graham,SEA,TE,1,GB,28,21,6200,9.74
67,Greg Olsen,CAR,TE,12,NYJ,18,26,6400,9.69
68,Delanie Walker,TEN,TE,2,JAX,13,17,6200,9.67
69,Delanie Walker,TEN,TE,15,SF,27,9,6500,9.66
69,Zach Ertz,PHI,TE,2,KC,11,5,6100,9.66
71,Jordan Reed,WAS,TE,6,SF,27,1,6500,9.65
72,Jordan Reed,WAS,TE,4,KC,15,9,6700,9.58
73,Delanie Walker,TEN,TE,14,ARI,20,16,6600,9.57
74,Delanie Walker,TEN,TE,13,HOU,27,27,6400,9.54
75,Jimmy Graham,SEA,TE,14,JAX,1,15,6900,9.51
75,Evan Engram,NYG,TE,15,PHI,3,13,6300,9.51
77,Vernon Davis,WAS,TE,11,NO,5,9,5200,9.43
78,Jack Doyle,IND,TE,14,BUF,14,23,5400,9.42
79,Delanie Walker,TEN,TE,16,LAR,9,20,6400,9.41
80,Jack Doyle,IND,TE,17,HOU,31,27,5400,9.4
81,Jordan Reed,WAS,TE,7,PHI,17,9,6100,9.39
82,Jimmy Graham,SEA,TE,7,NYG,24,32,5800,9.36
83,Jared Cook,OAK,TE,13,NYG,32,32,5500,9.31
84,Kyle Rudolph,MIN,TE,2,PIT,9,18,5500,9.3
85,Greg Olsen,CAR,TE,17,ATL,15,14,6400,9.27
86,Zach Ertz,PHI,TE,1,WAS,23,22,5900,9.26
86,Jack Doyle,IND,TE,12,TEN,22,7,5700,9.26
88,Evan Engram,NYG,TE,13,OAK,26,23,6900,9.25
89,Delanie Walker,TEN,TE,1,OAK,22,25,6100,9.2
89,Jack Doyle,IND,TE,13,JAX,1,20,5700,9.2
91,Evan Engram,NYG,TE,7,SEA,5,14,5500,9.19
92,Kyle Rudolph,MIN,TE,3,TB,4,9,5400,9.07
93,Hunter Henry,LAC,TE,15,KC,25,12,5900,9.04
94,Jimmy Graham,SEA,TE,8,HOU,14,20,6400,9.02
95,Cameron Brate,TB,TE,9,NO,14,7,6100,9.01
96,Vernon Davis,WAS,TE,13,DAL,27,22,5600,8.98
96,Delanie Walker,TEN,TE,3,SEA,9,7,6500,8.98
96,Jack Doyle,IND,TE,16,BAL,3,20,5300,8.98
99,Jimmy Graham,SEA,TE,4,IND,29,13,6200,8.93
100,Kyle Rudolph,MIN,TE,16,GB,28,2,6700,8.92
101,Delanie Walker,TEN,TE,7,CLE,21,31,5900,8.88
102,Jared Cook,OAK,TE,11,NE,30,20,5600,8.87
103,Kyle Rudolph,MIN,TE,7,BAL,9,30,5400,8.86
103,Delanie Walker,TEN,TE,5,MIA,19,20,6000,8.86
105,Martellus Bennett,GB,TE,2,ATL,29,27,5800,8.79
106,Delanie Walker,TEN,TE,4,HOU,25,20,6500,8.78
107,Hunter Henry,LAC,TE,14,WAS,22,29,5600,8.76
108,Jack Doyle,IND,TE,10,PIT,2,4,6100,8.72
109,Jimmy Graham,SEA,TE,17,ARI,12,15,6700,8.71
109,Jack Doyle,IND,TE,15,DEN,10,30,5200,8.71
111,Cameron Brate,TB,TE,8,CAR,6,11,5800,8.67
111,Vernon Davis,WAS,TE,9,SEA,9,16,5400,8.67
111,Kyle Rudolph,MIN,TE,13,ATL,11,8,6000,8.67
111,Jason Witten,DAL,TE,3,ARI,19,9,5500,8.67
115,Charles Clay,BUF,TE,2,CAR,25,31,5200,8.66
115,Evan Engram,NYG,TE,6,DEN,7,26,6100,8.66
