Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Rob Gronkowski,NE,TE,14,WAS,10,6,60,160,2,50,16,26.7,0,0,0,0,0,0,31,31
2,Jermichael Finley,GB,TE,3,CHI,8,7,87.5,85,3,24,10.6,12.1,0,0,0,0,0,0,30,30
3,Rob Gronkowski,NE,TE,10,NYJ,11,8,72.7,113,2,23,10.3,14.1,0,0,0,0,0,0,27.3,27.3
4,Rob Gronkowski,NE,TE,13,IND,6,5,83.3,64,2,21,10.7,12.8,1,2,2,1,0,0,27.1,27.1
5,Jared Cook,TEN,TE,16,JAX,8,8,100,169,1,55,21.1,21.1,0,0,0,0,0,0,26.9,26.9
6,Rob Gronkowski,NE,TE,17,BUF,10,8,80,108,2,22,10.8,13.5,0,0,0,0,0,0,26.8,26.8
7,Rob Gronkowski,NE,TE,3,BUF,9,7,77.8,109,2,29,12.1,15.6,0,0,0,0,0,0,26.4,26.4
8,Aaron Hernandez,NE,TE,17,BUF,11,7,63.6,138,1,44,12.5,19.7,2,26,13,0,0,0,25.9,25.9
9,Aaron Hernandez,NE,TE,15,DEN,11,9,81.8,129,1,46,11.7,14.3,1,16,16,0,0,0,25,25
10,Ed Dickson,BAL,TE,10,SEA,14,10,71.4,79,2,19,5.6,7.9,0,0,0,0,0,0,24.9,24.9
11,Jimmy Graham,NO,TE,4,JAX,14,10,71.4,132,1,59,9.4,13.2,0,0,0,0,0,0,24.2,24.2
12,Brent Celek,PHI,TE,15,NYJ,6,5,83.3,156,1,73,26,31.2,0,0,0,0,0,0,24.1,24.1
13,Tony Gonzalez,ATL,TE,2,PHI,9,7,77.8,83,2,17,9.2,11.9,0,0,0,0,0,0,23.8,23.8
14,Rob Gronkowski,NE,TE,11,KC,7,4,57.1,96,2,52,13.7,24,0,0,0,0,0,0,23.6,23.6
15,Jimmy Graham,NO,TE,12,NYG,8,5,62.5,84,2,29,10.5,16.8,0,0,0,0,0,0,22.9,22.9
16,Rob Gronkowski,NE,TE,2,LAC,6,4,66.7,86,2,30,14.3,21.5,0,0,0,0,0,0,22.6,22.6
17,Antonio Gates,LAC,TE,14,BUF,9,7,77.8,68,2,17,7.6,9.7,0,0,0,0,0,0,22.3,22.3
18,James Casey,HOU,TE,3,NO,7,5,71.4,126,1,62,18,25.2,1,11,11,0,0,0,22.2,22.2
19,Scott Chandler,BUF,TE,1,KC,5,5,100,63,2,19,12.6,12.6,0,0,0,0,0,0,20.8,20.8
20,Jimmy Graham,NO,TE,7,IND,7,6,85.7,54,2,16,7.7,9,0,0,0,0,0,0,20.4,20.4
21,Dustin Keller,NYJ,TE,12,BUF,8,4,50,61,2,22,7.6,15.2,0,0,0,0,0,0,20.1,20.1
21,Rob Gronkowski,NE,TE,9,NYG,15,8,53.3,101,1,27,6.7,12.6,0,0,0,0,0,0,20.1,20.1
23,Aaron Hernandez,NE,TE,1,MIA,10,7,70,103,1,30,10.3,14.7,0,0,0,0,0,0,19.8,19.8
24,Joel Dreessen,HOU,TE,5,OAK,9,5,55.6,112,1,56,12.4,22.4,0,0,0,0,0,0,19.7,19.7
24,Jimmy Graham,NO,TE,17,CAR,9,8,88.9,97,1,29,10.8,12.1,0,0,0,0,0,0,19.7,19.7
