Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Rob Gronkowski,NE,TE,2,BAL,13,7,53.8,108,1,46,8.3,15.4,0,0,0,0,0,0,20.3,20.3
2,Rob Gronkowski,NE,TE,4,SEA,10,6,60,68,1,22,6.8,11.3,0,0,0,0,0,0,15.8,15.8
3,Luke Willson,SEA,TE,2,CAR,4,4,100,68,1,29,17,17,0,0,0,0,0,0,14.8,14.8
4,Owen Daniels,BAL,TE,2,NE,11,4,36.4,41,1,17,3.7,10.2,0,0,0,0,0,0,12.1,12.1
5,Andrew Quarless,GB,TE,2,DAL,4,4,100,31,1,13,7.8,7.8,0,0,0,0,0,0,11.1,11.1
6,Dwayne Allen,IND,TE,2,DEN,4,4,100,30,1,18,7.5,7.5,0,0,0,0,0,0,11,11
7,Rob Gronkowski,NE,TE,3,IND,8,3,37.5,28,1,16,3.5,9.3,0,0,0,0,0,0,10.3,10.3
8,Jason Witten,DAL,TE,2,GB,7,6,85.7,71,0,18,10.1,11.8,0,0,0,0,0,0,10.1,10.1
9,Owen Daniels,BAL,TE,1,PIT,5,4,80,70,0,23,14,17.5,0,0,0,0,0,0,9,9
10,Jason Witten,DAL,TE,1,DET,7,5,71.4,63,0,21,9,12.6,0,0,0,0,0,0,8.8,8.8
11,Crockett Gillmore,BAL,TE,1,PIT,1,1,100,21,1,21,21,21,0,0,0,0,0,0,8.6,8.6
11,Heath Miller,PIT,TE,1,BAL,9,6,66.7,76,0,30,8.4,12.7,0,0,0,0,1,1,8.6,8.6
13,Julius Thomas,DEN,TE,2,IND,7,6,85.7,53,0,32,7.6,8.8,0,0,0,0,0,0,8.3,8.3
14,Richard Rodgers,GB,TE,2,DAL,1,1,100,13,1,13,13,13,0,0,0,0,0,0,7.8,7.8
14,Greg Olsen,CAR,TE,2,SEA,6,4,66.7,58,0,31,9.7,14.5,0,0,0,0,0,0,7.8,7.8
16,Darren Fells,ARI,TE,1,CAR,1,1,100,1,1,1,1,1,0,0,0,0,0,0,6.6,6.6
17,Coby Fleener,IND,TE,2,DEN,6,3,50,49,0,32,8.2,16.3,0,0,0,0,0,0,6.4,6.4
18,Michael Hoomanawanui,NE,TE,2,BAL,4,4,100,43,0,16,10.8,10.8,0,0,0,0,0,0,6.3,6.3
19,Richard Rodgers,GB,TE,3,SEA,5,4,80,35,0,12,7,8.8,0,0,0,0,0,0,5.5,5.5
20,Greg Olsen,CAR,TE,1,ARI,5,3,60,37,0,16,7.4,12.3,0,0,0,0,0,0,5.2,5.2
20,Ryan Hewitt,CIN,TE,1,IND,5,3,60,37,0,14,7.4,12.3,0,0,0,0,0,0,5.2,5.2
22,Dwayne Allen,IND,TE,3,NE,6,4,66.7,30,0,10,5,7.5,0,0,0,0,0,0,5,5
23,Dwayne Allen,IND,TE,1,CIN,3,3,100,30,0,12,10,10,0,0,0,0,0,0,4.5,4.5
23,Coby Fleener,IND,TE,3,NE,4,3,75,30,0,11,7.5,10,0,0,0,0,0,0,4.5,4.5
25,Ed Dickson,CAR,TE,2,SEA,3,2,66.7,33,0,19,11,16.5,0,0,0,0,0,0,4.3,4.3
26,Luke Willson,SEA,TE,3,GB,5,2,40,11,0,8,2.2,5.5,0,0,0,0,0,0,4.1,4.1
27,John Carlson,ARI,TE,1,CAR,4,3,75,25,0,14,6.2,8.3,0,0,0,0,0,0,4,4
28,Ed Dickson,CAR,TE,1,ARI,4,1,25,34,0,34,8.5,34,0,0,0,0,0,0,3.9,3.9
29,Eric Ebron,DET,TE,1,DAL,3,3,100,21,0,8,7,7,0,0,0,0,0,0,3.6,3.6
30,Jack Doyle,IND,TE,2,DEN,4,3,75,14,0,8,3.5,4.7,0,0,0,0,0,0,2.9,2.9
31,Jack Doyle,IND,TE,1,CIN,3,3,100,9,0,4,3,3,0,0,0,0,0,0,2.4,2.4
32,Coby Fleener,IND,TE,1,CIN,2,1,50,18,0,18,9,18,0,0,0,0,0,0,2.3,2.3
33,Brandon Pettigrew,DET,TE,1,DAL,2,1,50,11,0,11,5.5,11,0,0,0,0,0,0,1.6,1.6
34,Crockett Gillmore,BAL,TE,2,NE,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.4,1.4
35,Kevin Brock,CIN,TE,1,IND,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.2,1.2
36,Michael Hoomanawanui,NE,TE,3,IND,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.1,1.1
37,Virgil Green,DEN,TE,2,IND,2,1,50,4,0,4,2,4,0,0,0,0,0,0,0.9,0.9
37,Michael Hoomanawanui,NE,TE,4,SEA,1,1,100,4,0,4,4,4,0,0,0,0,0,0,0.9,0.9
39,Matt Spaeth,PIT,TE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Kellen Davis,DET,TE,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Rob Housler,ARI,TE,1,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,James Hanna,DAL,TE,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Bradley Sowell,ARI,TE,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Gavin Escobar,DAL,TE,1,DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brandon Williams,CAR,TE,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Logan Thomas,ARI,TE,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Jacob Tamme,DEN,TE,2,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brandon Bostick,GB,TE,2,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,James Hanna,DAL,TE,2,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Gavin Escobar,DAL,TE,2,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tim Wright,NE,TE,2,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brandon Williams,CAR,TE,2,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cooper Helfet,SEA,TE,2,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Brandon Bostick,GB,TE,3,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tony Moeaki,SEA,TE,3,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Andrew Quarless,GB,TE,3,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tim Wright,NE,TE,3,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Jack Doyle,IND,TE,3,NE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tony Moeaki,SEA,TE,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Luke Willson,SEA,TE,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tim Wright,NE,TE,4,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cooper Helfet,SEA,TE,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
