Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,16,BAL,13,8,61.5,109,1,0,8.4,13.6,0,0,0,0,0,0,20.9,20.9
2,Julio Jones,ATL,WR,11,IND,12,8,66.7,107,1,0,8.9,13.4,0,0,0,0,0,0,20.7,20.7
3,Julio Jones,ATL,WR,17,NO,12,8,66.7,106,1,0,8.8,13.2,0,0,0,0,0,0,20.6,20.6
4,Antonio Brown,PIT,WR,1,NE,13,8,61.5,103,1,0,7.9,12.9,0,2,0,0,0,0,20.5,20.5
5,Julio Jones,ATL,WR,5,WAS,12,8,66.7,104,1,0,8.7,13,0,0,0,0,0,0,20.4,20.4
5,Antonio Brown,PIT,WR,17,CLE,13,8,61.5,103,1,0,7.9,12.9,0,1,0,0,0,0,20.4,20.4
7,Julio Jones,ATL,WR,9,SF,12,8,66.7,102,1,0,8.5,12.8,0,0,0,0,0,0,20.2,20.2
7,Julio Jones,ATL,WR,12,MIN,12,8,66.7,102,1,0,8.5,12.8,0,0,0,0,0,0,20.2,20.2
7,Antonio Brown,PIT,WR,13,IND,13,8,61.5,102,1,0,7.8,12.8,0,0,0,0,0,0,20.2,20.2
7,Antonio Brown,PIT,WR,14,CIN,13,8,61.5,102,1,0,7.8,12.8,0,0,0,0,0,0,20.2,20.2
11,Julio Jones,ATL,WR,4,HOU,12,8,66.7,101,1,0,8.4,12.6,0,0,0,0,0,0,20.1,20.1
11,Julio Jones,ATL,WR,13,TB,12,8,66.7,101,1,0,8.4,12.6,0,0,0,0,0,0,20.1,20.1
13,Antonio Brown,PIT,WR,3,LAR,13,8,61.5,100,1,0,7.7,12.5,0,0,0,0,0,0,20,20
14,DeAndre Hopkins,HOU,WR,12,NO,12,7,58.3,104,1,0,8.7,14.9,0,0,0,0,0,0,19.9,19.9
15,Julio Jones,ATL,WR,1,PHI,10,7,70,99,1,0,9.9,14.1,0,1,0,0,0,0,19.5,19.5
15,DeAndre Hopkins,HOU,WR,7,MIA,12,7,58.3,100,1,0,8.3,14.3,0,0,0,0,0,0,19.5,19.5
15,Odell Beckham Jr,NYG,WR,17,PHI,12,7,58.3,100,1,0,8.3,14.3,0,0,0,0,0,0,19.5,19.5
18,Antonio Brown,PIT,WR,2,SF,11,7,63.6,98,1,0,8.9,14,0,0,0,0,0,0,19.3,19.3
18,Julio Jones,ATL,WR,3,DAL,10,7,70,98,1,0,9.8,14,0,0,0,0,0,0,19.3,19.3
18,Antonio Brown,PIT,WR,9,OAK,11,7,63.6,97,1,0,8.8,13.9,0,1,0,0,0,0,19.3,19.3
18,Julio Jones,ATL,WR,8,TB,10,7,70,98,1,0,9.8,14,0,0,0,0,0,0,19.3,19.3
22,Odell Beckham Jr,NYG,WR,3,WAS,12,7,58.3,96,1,0,8,13.7,0,1,0,0,0,0,19.2,19.2
22,DeAndre Hopkins,HOU,WR,8,TEN,12,7,58.3,97,1,0,8.1,13.9,0,0,0,0,0,0,19.2,19.2
22,Julio Jones,ATL,WR,15,JAX,10,7,70,97,1,0,9.7,13.9,0,0,0,0,0,0,19.2,19.2
25,Antonio Brown,PIT,WR,8,CIN,11,7,63.6,95,1,0,8.6,13.6,0,1,0,0,0,0,19.1,19.1
26,DeAndre Hopkins,HOU,WR,6,JAX,12,7,58.3,94,1,0,7.8,13.4,0,0,0,0,0,0,18.9,18.9
26,Julio Jones,ATL,WR,7,TEN,10,7,70,94,1,0,9.4,13.4,0,0,0,0,0,0,18.9,18.9
26,Odell Beckham Jr,NYG,WR,12,WAS,12,7,58.3,93,1,0,7.8,13.3,0,1,0,0,0,0,18.9,18.9
26,DeAndre Hopkins,HOU,WR,17,JAX,12,7,58.3,94,1,0,7.8,13.4,0,0,0,0,0,0,18.9,18.9
30,Odell Beckham Jr,NYG,WR,1,DAL,12,7,58.3,91,1,0,7.6,13,1,2,2,0,0,0,18.8,18.8
30,DeAndre Hopkins,HOU,WR,10,CIN,12,7,58.3,93,1,0,7.8,13.3,0,0,0,0,0,0,18.8,18.8
30,Antonio Brown,PIT,WR,12,SEA,11,7,63.6,92,1,0,8.4,13.1,0,1,0,0,0,0,18.8,18.8
33,Demaryius Thomas,DEN,WR,3,DET,10,7,70,92,1,0,9.2,13.1,0,0,0,0,0,0,18.7,18.7
33,Demaryius Thomas,DEN,WR,5,OAK,10,7,70,92,1,0,9.2,13.1,0,0,0,0,0,0,18.7,18.7
33,Odell Beckham Jr,NYG,WR,13,NYJ,12,7,58.3,92,1,0,7.7,13.1,0,0,0,0,0,0,18.7,18.7
33,Odell Beckham Jr,NYG,WR,14,MIA,12,7,58.3,92,1,0,7.7,13.1,0,0,0,0,0,0,18.7,18.7
37,Demaryius Thomas,DEN,WR,4,MIN,10,7,70,91,1,0,9.1,13,0,0,0,0,0,0,18.6,18.6
38,Odell Beckham Jr,NYG,WR,9,TB,12,7,58.3,88,1,0,7.3,12.6,0,1,0,0,0,0,18.4,18.4
38,DeAndre Hopkins,HOU,WR,14,NE,12,7,58.3,89,1,0,7.4,12.7,0,0,0,0,0,0,18.4,18.4
40,Mike Evans,TB,WR,11,PHI,9,6,66.7,93,1,0,10.3,15.5,0,0,0,0,0,0,18.3,18.3
40,Demaryius Thomas,DEN,WR,10,KC,10,7,70,88,1,0,8.8,12.6,0,0,0,0,0,0,18.3,18.3
