Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Julio Jones,ATL,WR,3,GB,23,32,8800,19.2
1,Antonio Brown,PIT,WR,2,KC,11,15,8800,19.2
1,Julio Jones,ATL,WR,4,NE,2,9,9600,19.2
4,Julio Jones,ATL,WR,2,SEA,4,17,8300,19.1
5,Antonio Brown,PIT,WR,3,NE,2,9,8400,18.7
6,Antonio Brown,PIT,WR,1,MIA,27,29,9100,18.5
7,Odell Beckham Jr,NYG,WR,1,GB,23,32,8900,18.3
8,Jordy Nelson,GB,WR,1,NYG,5,7,8500,16.8
9,Doug Baldwin,SEA,WR,1,DET,25,24,6900,16.4
10,Randall Cobb,GB,WR,2,DAL,14,11,6500,16.3
11,Davante Adams,GB,WR,3,ATL,29,19,7600,16.1
12,Doug Baldwin,SEA,WR,2,ATL,29,19,7900,15.7
13,Randall Cobb,GB,WR,3,ATL,29,19,6500,15.3
14,Davante Adams,GB,WR,2,DAL,14,11,7400,14.9
15,Dez Bryant,DAL,WR,2,GB,23,32,7600,14.8
16,Julian Edelman,NE,WR,3,PIT,9,4,7800,14
17,Julian Edelman,NE,WR,4,ATL,29,19,8500,12.9
18,Julian Edelman,NE,WR,2,HOU,3,5,7000,12.5
19,Chris Hogan,NE,WR,4,ATL,29,19,6900,10.8
20,DeAndre Hopkins,HOU,WR,2,NE,2,9,7100,9.9
21,Golden Tate,DET,WR,1,SEA,4,17,6100,9.6
22,Jarvis Landry,MIA,WR,1,PIT,9,4,6400,9.5
23,DeAndre Hopkins,HOU,WR,1,OAK,22,14,7400,9
24,Tyreek Hill,KC,WR,2,PIT,9,4,6600,8.2
25,Mohamed Sanu,ATL,WR,4,NE,2,9,6400,7.9
25,Michael Crabtree,OAK,WR,1,HOU,3,5,6000,7.9
27,Amari Cooper,OAK,WR,1,HOU,3,5,6500,7.6
27,Taylor Gabriel,ATL,WR,4,NE,2,9,5900,7.6
29,Davante Adams,GB,WR,1,NYG,5,7,7000,7.3
30,Taylor Gabriel,ATL,WR,3,GB,23,32,6000,7.2
31,Marvin Jones,DET,WR,1,SEA,4,17,5500,7
31,Mohamed Sanu,ATL,WR,3,GB,23,32,5800,7
33,Sterling Shepard,NYG,WR,1,GB,23,32,5100,6.6
34,Jordy Nelson,GB,WR,3,ATL,29,19,8000,6.5
34,Jeremy Maclin,KC,WR,2,PIT,9,4,5500,6.5
36,Randall Cobb,GB,WR,1,NYG,5,7,5300,6.4
37,Anquan Boldin,DET,WR,1,SEA,4,17,4800,6.3
37,Mohamed Sanu,ATL,WR,2,SEA,4,17,5400,6.3
39,Cole Beasley,DAL,WR,2,GB,23,32,6100,6.1
40,Devante Parker,MIA,WR,1,PIT,9,4,6000,5.8
41,Taylor Gabriel,ATL,WR,2,SEA,4,17,5500,5.7
42,Kenny Stills,MIA,WR,1,PIT,9,4,5000,5.4
42,Will Fuller,HOU,WR,1,OAK,22,14,5000,5.4
42,Chris Hogan,NE,WR,2,HOU,3,5,5200,5.4
45,Eli Rogers,PIT,WR,1,MIA,27,29,5000,5.2
45,Malcolm Mitchell,NE,WR,2,HOU,3,5,5600,5.2
47,Chris Hogan,NE,WR,3,PIT,9,4,5500,5.1
48,Jermaine Kearse,SEA,WR,2,ATL,29,19,4900,4.9
48,Paul Richardson,SEA,WR,2,ATL,29,19,4700,4.9
50,Jermaine Kearse,SEA,WR,1,DET,25,24,4900,4.8
51,Eli Rogers,PIT,WR,2,KC,11,15,5000,4.5
52,Eli Rogers,PIT,WR,3,NE,2,9,4900,4.4
53,Victor Cruz,NYG,WR,1,GB,23,32,4500,4.3
54,Danny Amendola,NE,WR,4,ATL,29,19,4400,4.1
55,Will Fuller,HOU,WR,2,NE,2,9,5000,4
56,Michael Floyd,NE,WR,4,ATL,29,19,4700,3.9
57,Terrance Williams,DAL,WR,2,GB,23,32,4500,3.8
58,Michael Floyd,NE,WR,3,PIT,9,4,4700,3.5
58,Malcolm Mitchell,NE,WR,3,PIT,9,4,4700,3.5
60,Paul Richardson,SEA,WR,1,DET,25,24,4700,3.4
60,Geronimo Allison,GB,WR,3,ATL,29,19,5400,3.4
62,Chris Conley,KC,WR,2,PIT,9,4,4500,3.3
63,Danny Amendola,NE,WR,3,PIT,9,4,4500,3.2
64,Danny Amendola,NE,WR,2,HOU,3,5,4500,3.1
64,Geronimo Allison,GB,WR,2,DAL,14,11,5300,3.1
64,Malcolm Mitchell,NE,WR,4,ATL,29,19,4300,3.1
67,Justin Hardy,ATL,WR,3,GB,23,32,4800,3
67,Justin Hardy,ATL,WR,2,SEA,4,17,4900,3
69,Sammie Coates,PIT,WR,1,MIA,27,29,4500,2.9
69,Seth Roberts,OAK,WR,1,HOU,3,5,4500,2.9
71,Justin Hardy,ATL,WR,4,NE,2,9,4900,2.7
72,Sammie Coates,PIT,WR,3,NE,2,9,4500,2.3
72,Michael Floyd,NE,WR,2,HOU,3,5,4600,2.3
74,Tanner McEvoy,SEA,WR,1,DET,25,24,4500,2.2
74,Sammie Coates,PIT,WR,2,KC,11,15,4500,2.2
74,Albert Wilson,KC,WR,2,PIT,9,4,4500,2.2
77,Andre Roberts,DET,WR,1,SEA,4,17,4500,1.9
78,Andre Holmes,OAK,WR,1,HOU,3,5,4500,1.7
78,Geronimo Allison,GB,WR,1,NYG,5,7,5200,1.7
78,Aldrick Robinson,ATL,WR,3,GB,23,32,4500,1.7
81,Darrius Heyward-Bey,PIT,WR,3,NE,2,9,4500,1.6
81,Cobi Hamilton,PIT,WR,3,NE,2,9,4500,1.6
81,Darrius Heyward-Bey,PIT,WR,2,KC,11,15,4500,1.6
81,Aldrick Robinson,ATL,WR,2,SEA,4,17,4500,1.6
85,Darrius Heyward-Bey,PIT,WR,1,MIA,27,29,4500,1.5
85,Jeff Janis,GB,WR,1,NYG,5,7,4500,1.5
85,Aldrick Robinson,ATL,WR,4,NE,2,9,4100,1.5
88,Wendall Williams,HOU,WR,1,OAK,22,14,4500,1.4
88,Jeff Janis,GB,WR,3,ATL,29,19,4500,1.4
88,Brice Butler,DAL,WR,2,GB,23,32,4900,1.4
88,Jeff Janis,GB,WR,2,DAL,14,11,4500,1.4
92,Cobi Hamilton,PIT,WR,1,MIA,27,29,4500,1.3
92,Roger Lewis,NYG,WR,1,GB,23,32,4500,1.3
92,Cobi Hamilton,PIT,WR,2,KC,11,15,4500,1.3
95,Keith Mumphery,HOU,WR,1,OAK,22,14,4500,1.2
95,Demarcus Ayers,PIT,WR,3,NE,2,9,4500,1.2
95,Tanner McEvoy,SEA,WR,2,ATL,29,19,4500,1.2
98,Devin Hester,SEA,WR,2,ATL,29,19,4500,1.1
98,Keith Mumphery,HOU,WR,2,NE,2,9,4500,1.1
100,Wendall Williams,HOU,WR,2,NE,2,9,4500,1
101,Trevor Davis,GB,WR,3,ATL,29,19,4500,0.9
102,Eric Weems,ATL,WR,3,GB,23,32,4600,0.8
103,Eric Weems,ATL,WR,4,NE,2,9,4000,0.7
104,Demarcus Ayers,PIT,WR,2,KC,11,15,4500,0.5
105,Demarcus Robinson,KC,WR,2,PIT,9,4,4500,0.4
106,Eric Weems,ATL,WR,2,SEA,4,17,4500,0.3
106,Trevor Davis,GB,WR,2,DAL,14,11,4500,0.3
108,De'Anthony Thomas,KC,WR,2,PIT,9,4,4500,0.2
109,Frankie Hammond,KC,WR,2,PIT,9,4,null,0.1
110,Devin Hester,SEA,WR,1,DET,25,24,null,0
110,Dwayne Harris,NYG,WR,1,GB,23,32,4500,0
110,Markus Wheaton,PIT,WR,1,MIA,27,29,4500,0
110,Tavarres King,NYG,WR,1,GB,23,32,4500,0
110,Ryan Spadola,DET,WR,1,SEA,4,17,null,0
110,Rashad Ross,DET,WR,1,SEA,4,17,4500,0
110,Martavis Bryant,PIT,WR,1,MIA,27,29,null,0
110,TJ Jones,DET,WR,1,SEA,4,17,4500,0
110,Marcus Lucas,SEA,WR,1,DET,25,24,null,0
110,Kevin Norwood,NYG,WR,1,GB,23,32,null,0
110,Tyler Lockett,SEA,WR,1,DET,25,24,4900,0
110,Jaelen Strong,HOU,WR,1,OAK,22,14,4500,0
110,Tony Lippett,MIA,WR,1,PIT,9,4,null,0
110,Da'Ron Brown,MIA,WR,1,PIT,9,4,null,0
110,Antwan Goodley,GB,WR,1,NYG,5,7,null,0
110,Kasen Williams,SEA,WR,1,DET,25,24,null,0
110,Andrew Turzilli,DET,WR,1,SEA,4,17,null,0
110,Tyler Slavin,SEA,WR,1,DET,25,24,null,0
110,George Farmer,SEA,WR,1,DET,25,24,4500,0
110,Ben Edwards,NYG,WR,1,GB,23,32,null,0
110,Braxton Miller,HOU,WR,1,OAK,22,14,4500,0
110,Leonte Carroo,MIA,WR,1,PIT,9,4,4500,0
110,Trevor Davis,GB,WR,1,NYG,5,7,4500,0
110,Jakeem Grant,MIA,WR,1,PIT,9,4,4500,0
110,Demarcus Ayers,PIT,WR,1,MIA,27,29,4500,0
110,Kenny Lawler,SEA,WR,1,DET,25,24,null,0
