Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,2,KC,30,25,8900,19.79
2,Antonio Brown,PIT,WR,3,TB,30,26,8800,18.46
3,Adam Thielen,MIN,WR,9,DET,24,12,8900,18.44
4,Adam Thielen,MIN,WR,8,NO,25,32,8800,18.04
5,Michael Thomas,NO,WR,11,PHI,12,27,8800,17.88
6,Michael Thomas,NO,WR,12,ATL,30,28,8800,17.42
7,Antonio Brown,PIT,WR,8,CLE,21,24,8800,17.29
8,Odell Beckham Jr,NYG,WR,4,NO,31,32,8600,17.24
9,Tyreek Hill,KC,WR,13,OAK,28,17,8400,17.18
9,Adam Thielen,MIN,WR,7,NYJ,19,26,8700,17.18
11,Davante Adams,GB,WR,16,NYJ,23,30,8500,17.13
12,Antonio Brown,PIT,WR,1,CLE,24,15,9000,16.99
13,Michael Thomas,NO,WR,10,CIN,31,27,8600,16.97
13,Julio Jones,ATL,WR,12,NO,18,32,8800,16.97
15,Antonio Brown,PIT,WR,14,OAK,29,15,8800,16.93
16,Davante Adams,GB,WR,14,ATL,28,26,8700,16.87
17,Antonio Brown,PIT,WR,5,ATL,28,26,9000,16.81
17,Michael Thomas,NO,WR,3,ATL,14,18,9000,16.81
19,AJ Green,CIN,WR,8,TB,32,30,8800,16.75
20,Antonio Brown,PIT,WR,10,CAR,16,12,8700,16.56
21,DeAndre Hopkins,HOU,WR,11,WAS,11,25,8600,16.55
22,DeAndre Hopkins,HOU,WR,16,PHI,25,31,8900,16.53
23,Michael Thomas,NO,WR,4,NYG,12,9,9000,16.51
24,Odell Beckham Jr,NYG,WR,12,PHI,25,31,8500,16.47
24,Odell Beckham Jr,NYG,WR,11,TB,31,31,8500,16.47
26,Davante Adams,GB,WR,9,NE,21,11,8600,16.46
26,Antonio Brown,PIT,WR,4,BAL,3,13,8800,16.46
28,Antonio Brown,PIT,WR,6,CIN,24,14,9100,16.43
29,Antonio Brown,PIT,WR,12,DEN,18,15,8500,16.28
30,Julio Jones,ATL,WR,6,TB,32,31,8500,16.26
31,DeAndre Hopkins,HOU,WR,1,NE,20,29,8800,16.25
32,Julio Jones,ATL,WR,5,PIT,30,31,8800,16.13
33,Davante Adams,GB,WR,11,SEA,9,20,8500,16.08
34,Antonio Brown,PIT,WR,9,BAL,1,6,8800,16.07
35,AJ Green,CIN,WR,7,KC,31,17,8800,16.05
36,Julio Jones,ATL,WR,2,CAR,2,9,8500,15.98
37,Antonio Brown,PIT,WR,16,NO,13,32,8700,15.96
38,Tyreek Hill,KC,WR,16,SEA,11,22,8000,15.88
39,Davante Adams,GB,WR,10,MIA,23,11,8600,15.85
40,Adam Thielen,MIN,WR,12,GB,15,27,8600,15.82
41,Odell Beckham Jr,NYG,WR,2,DAL,3,2,8200,15.8
42,Julio Jones,ATL,WR,14,GB,14,29,8400,15.79
43,DeAndre Hopkins,HOU,WR,12,TEN,6,26,8400,15.7
44,Adam Thielen,MIN,WR,13,NE,17,13,8100,15.69
45,Davante Adams,GB,WR,8,LAR,6,14,8600,15.67
46,DeAndre Hopkins,HOU,WR,5,DAL,6,8,8700,15.66
46,Odell Beckham Jr,NYG,WR,10,SF,23,21,8400,15.66
48,Julio Jones,ATL,WR,7,NYG,18,8,8700,15.62
49,Julio Jones,ATL,WR,3,NO,29,32,8700,15.6
49,DeAndre Hopkins,HOU,WR,14,IND,10,5,8600,15.6
51,Davante Adams,GB,WR,13,ARI,16,12,8500,15.57
51,Mike Evans,TB,WR,6,ATL,30,29,8000,15.57
51,Michael Thomas,NO,WR,2,CLE,18,22,8800,15.57
54,Antonio Brown,PIT,WR,13,LAC,5,8,8500,15.55
55,Odell Beckham Jr,NYG,WR,6,PHI,12,29,8600,15.54
56,Antonio Brown,PIT,WR,11,JAX,6,1,8500,15.53
57,Antonio Brown,PIT,WR,15,NE,21,11,8600,15.52
58,DeAndre Hopkins,HOU,WR,4,IND,11,1,8600,15.51
59,Michael Thomas,NO,WR,5,WAS,1,3,8900,15.5
60,Keenan Allen,LAC,WR,15,KC,30,11,8000,15.47
61,Tyreek Hill,KC,WR,11,LAR,17,18,7900,15.42
61,Julio Jones,ATL,WR,9,WAS,6,19,8500,15.42
63,Julio Jones,ATL,WR,10,CLE,26,23,8700,15.41
63,Michael Thomas,NO,WR,16,PIT,14,13,8300,15.41
65,DeAndre Hopkins,HOU,WR,13,CLE,27,22,8800,15.39
65,DeAndre Hopkins,HOU,WR,17,JAX,3,1,8700,15.39
67,Michael Thomas,NO,WR,9,LAR,7,18,8600,15.38
68,DeAndre Hopkins,HOU,WR,9,DEN,19,13,8600,15.32
69,Michael Thomas,NO,WR,1,TB,27,30,8500,15.28
70,Julio Jones,ATL,WR,11,DAL,4,3,8700,15.27
71,Michael Thomas,NO,WR,15,CAR,25,27,8500,15.26
72,Odell Beckham Jr,NYG,WR,7,ATL,31,29,8500,15.22
73,Adam Thielen,MIN,WR,11,CHI,3,15,8600,15.2
74,Tyreek Hill,KC,WR,14,BAL,1,4,8200,15.19
75,Tyreek Hill,KC,WR,17,OAK,29,18,7800,15.18
76,Adam Thielen,MIN,WR,6,ARI,15,2,8600,15.16
77,JuJu Smith-Schuster,PIT,WR,17,CIN,32,23,7900,15.14
78,Julio Jones,ATL,WR,4,CIN,23,9,8600,15.13
79,Davante Adams,GB,WR,6,SF,23,18,8400,15.08
79,Michael Thomas,NO,WR,14,TB,31,31,8300,15.08
81,Tyreek Hill,KC,WR,3,SF,23,25,8200,15.05
82,AJ Green,CIN,WR,6,PIT,29,30,8800,15.02
83,DeAndre Hopkins,HOU,WR,2,TEN,16,27,8400,15
84,DeAndre Hopkins,HOU,WR,8,MIA,22,9,8600,14.99
84,Davante Adams,GB,WR,15,CHI,1,13,8500,14.99
86,Tyreek Hill,KC,WR,7,CIN,25,18,7800,14.96
87,Keenan Allen,LAC,WR,10,OAK,30,26,7900,14.94
87,Keenan Allen,LAC,WR,5,OAK,25,29,8100,14.94
87,Odell Beckham Jr,NYG,WR,8,WAS,7,19,8500,14.94
90,Davante Adams,GB,WR,12,MIN,6,4,8700,14.93
91,JuJu Smith-Schuster,PIT,WR,15,NE,21,11,7800,14.92
92,Tyreek Hill,KC,WR,6,NE,16,11,7800,14.88
93,Keenan Allen,LAC,WR,14,CIN,32,18,7900,14.87
94,DeAndre Hopkins,HOU,WR,3,NYG,4,6,8600,14.83
95,Robert Woods,LAR,WR,13,DET,21,19,7300,14.79
96,Odell Beckham Jr,NYG,WR,3,HOU,10,5,8300,14.71
97,Tyreek Hill,KC,WR,10,ARI,12,6,7600,14.7
98,AJ Green,CIN,WR,4,ATL,27,21,8500,14.67
98,Keenan Allen,LAC,WR,4,SF,28,27,8100,14.67
100,JuJu Smith-Schuster,PIT,WR,14,OAK,29,15,7500,14.66
100,Julio Jones,ATL,WR,17,TB,30,26,8600,14.66
100,Michael Thomas,NO,WR,13,DAL,6,2,8400,14.66
103,Odell Beckham Jr,NYG,WR,13,CHI,2,15,8200,14.65
104,Michael Thomas,NO,WR,8,MIN,13,4,8600,14.64
105,AJ Green,CIN,WR,3,CAR,12,10,8600,14.62
106,Robert Woods,LAR,WR,11,KC,28,9,7500,14.57
106,Julio Jones,ATL,WR,16,CAR,22,25,8700,14.57
108,Adam Thielen,MIN,WR,5,PHI,13,27,8300,14.54
109,Keenan Allen,LAC,WR,2,BUF,29,25,8000,14.51
110,DeAndre Hopkins,HOU,WR,6,BUF,11,3,9000,14.48
111,Odell Beckham Jr,NYG,WR,5,CAR,10,9,8300,14.47
112,Robert Woods,LAR,WR,15,PHI,26,31,7500,14.46
113,Julio Jones,ATL,WR,15,ARI,12,8,8800,14.45
114,Julio Jones,ATL,WR,1,PHI,5,21,8300,14.43
115,Julio Jones,ATL,WR,13,BAL,1,5,8600,14.42
116,Tyreek Hill,KC,WR,15,LAC,8,7,8400,14.41
117,JuJu Smith-Schuster,PIT,WR,5,ATL,28,26,8000,14.39
118,Keenan Allen,LAC,WR,1,KC,21,32,8000,14.37
119,Stefon Diggs,MIN,WR,12,GB,15,27,7300,14.34
120,Tyreek Hill,KC,WR,2,PIT,15,15,8100,14.33
121,Robert Woods,LAR,WR,17,SF,24,27,7600,14.31
122,AJ Green,CIN,WR,5,MIA,15,8,8500,14.27
123,Mike Evans,TB,WR,3,PIT,29,29,8000,14.26
123,AJ Green,CIN,WR,1,IND,29,28,8400,14.26
125,Brandin Cooks,LAR,WR,11,KC,28,9,7800,14.25
126,Amari Cooper,DAL,WR,15,IND,10,6,6600,14.23
127,Tyreek Hill,KC,WR,9,CLE,23,24,7800,14.22
128,Adam Thielen,MIN,WR,15,MIA,27,17,8200,14.16
129,DeAndre Hopkins,HOU,WR,15,NYJ,21,25,9200,14.13
129,Robert Woods,LAR,WR,9,NO,27,32,7600,14.13
131,Tyreek Hill,KC,WR,8,DEN,18,11,7800,14.12
132,Robert Woods,LAR,WR,7,SF,29,24,7700,14.05
132,Stefon Diggs,MIN,WR,15,MIA,27,17,7700,14.05
134,Stefon Diggs,MIN,WR,5,PHI,13,27,8200,14
135,Keenan Allen,LAC,WR,12,ARI,13,9,7700,13.97
136,Michael Thomas,NO,WR,7,BAL,1,6,8600,13.95
137,Keenan Allen,LAC,WR,17,DEN,16,12,7600,13.93
138,Adam Thielen,MIN,WR,14,SEA,12,23,8100,13.92
139,Tyler Boyd,CIN,WR,10,NO,28,32,7800,13.91
140,Robert Woods,LAR,WR,8,GB,9,21,7600,13.9
141,JuJu Smith-Schuster,PIT,WR,8,CLE,21,24,8000,13.89
142,Mike Evans,TB,WR,13,CAR,24,18,7900,13.86
142,Davante Adams,GB,WR,4,BUF,20,15,8000,13.86
144,T.Y. Hilton,IND,WR,17,TEN,6,20,7700,13.85
145,Mike Evans,TB,WR,14,NO,17,32,7700,13.84
146,T.Y. Hilton,IND,WR,16,NYG,17,8,7700,13.83
147,Mike Evans,TB,WR,12,SF,23,20,7900,13.78
148,Keenan Allen,LAC,WR,13,PIT,12,10,7700,13.76
149,Brandin Cooks,LAR,WR,15,PHI,26,31,7600,13.74
149,Adam Thielen,MIN,WR,4,LAR,1,1,8300,13.74
151,T.Y. Hilton,IND,WR,14,HOU,9,7,7600,13.72
152,Stefon Diggs,MIN,WR,7,NYJ,19,26,7600,13.71
153,Adam Thielen,MIN,WR,3,BUF,31,20,8200,13.67
154,Golden Tate,DET,WR,5,GB,8,16,7400,13.65
155,T.Y. Hilton,IND,WR,12,MIA,22,10,7500,13.64
156,Tyreek Hill,KC,WR,4,DEN,19,14,7800,13.62
157,Keenan Allen,LAC,WR,3,LAR,1,1,8000,13.58
158,Mike Evans,TB,WR,4,CHI,9,20,7900,13.56
158,Stefon Diggs,MIN,WR,8,NO,25,32,7300,13.56
160,Stefon Diggs,MIN,WR,14,SEA,12,23,7700,13.53
160,Jarvis Landry,CLE,WR,4,OAK,21,29,7000,13.53
162,DeAndre Hopkins,HOU,WR,7,JAX,3,1,8500,13.52
163,Mike Evans,TB,WR,9,CAR,14,9,7900,13.51
164,Brandin Cooks,LAR,WR,13,DET,21,19,7800,13.41
164,Stefon Diggs,MIN,WR,3,BUF,31,20,8300,13.41
164,Mike Evans,TB,WR,8,CIN,30,20,7800,13.41
167,Brandin Cooks,LAR,WR,8,GB,9,21,7500,13.37
168,JuJu Smith-Schuster,PIT,WR,3,TB,30,26,7800,13.34
168,JuJu Smith-Schuster,PIT,WR,16,NO,13,32,8000,13.34
170,Stefon Diggs,MIN,WR,6,ARI,15,2,8200,13.32
171,Brandin Cooks,LAR,WR,5,SEA,7,12,7800,13.3
172,Julian Edelman,NE,WR,17,NYJ,27,31,7100,13.28
173,Jarvis Landry,CLE,WR,2,NO,32,32,6700,13.26
174,Mike Evans,TB,WR,10,WAS,11,24,7500,13.24
174,Keenan Allen,LAC,WR,6,CLE,14,20,8100,13.24
176,Davante Adams,GB,WR,3,WAS,2,4,8100,13.21
177,Kenny Golladay,DET,WR,12,CHI,2,17,7200,13.2
178,Mike Evans,TB,WR,7,CLE,21,23,7800,13.18
179,Mike Evans,TB,WR,17,ATL,28,25,7300,13.17
179,JuJu Smith-Schuster,PIT,WR,6,CIN,24,14,7800,13.17
181,Kenny Golladay,DET,WR,13,LAR,26,28,7300,13.16
181,Davante Adams,GB,WR,1,CHI,7,13,8100,13.16
183,Mike Evans,TB,WR,2,PHI,10,14,7900,13.15
183,T.Y. Hilton,IND,WR,4,HOU,17,8,7300,13.15
185,Robert Woods,LAR,WR,10,SEA,6,18,7500,13.13
185,Stefon Diggs,MIN,WR,16,DET,16,24,7300,13.13
185,Golden Tate,DET,WR,7,MIA,16,11,7400,13.13
188,JuJu Smith-Schuster,PIT,WR,4,BAL,3,13,7800,13.11
189,T.Y. Hilton,IND,WR,8,OAK,27,28,7400,13.1
190,Amari Cooper,DAL,WR,16,TB,30,26,7000,13.09
190,Adam Thielen,MIN,WR,16,DET,16,24,7600,13.09
192,Amari Cooper,DAL,WR,14,PHI,18,28,6900,13.07
193,Mike Evans,TB,WR,11,NYG,16,6,7400,13.04
193,Alshon Jeffery,PHI,WR,7,CAR,14,15,7600,13.04
193,JuJu Smith-Schuster,PIT,WR,12,DEN,18,15,7200,13.04
196,JuJu Smith-Schuster,PIT,WR,13,LAC,5,8,7200,13.03
197,JuJu Smith-Schuster,PIT,WR,10,CAR,16,12,7200,13.01
197,Julian Edelman,NE,WR,15,PIT,13,12,7200,13.01
199,Keenan Allen,LAC,WR,11,DEN,19,14,7600,12.97
200,JuJu Smith-Schuster,PIT,WR,2,KC,30,25,7200,12.94
201,Robert Woods,LAR,WR,14,CHI,4,17,7500,12.91
201,Robert Woods,LAR,WR,16,ARI,15,10,7500,12.91
203,Brandin Cooks,LAR,WR,7,SF,29,24,7500,12.89
204,Emmanuel Sanders,DEN,WR,9,HOU,9,8,7100,12.88
205,Jarvis Landry,CLE,WR,6,LAC,19,28,6900,12.87
206,Amari Cooper,DAL,WR,13,NO,16,32,6900,12.85
207,Julian Edelman,NE,WR,16,BUF,4,5,7000,12.82
208,Jarvis Landry,CLE,WR,7,TB,32,31,6500,12.81
209,Davante Adams,GB,WR,5,DET,17,2,8000,12.76
209,Emmanuel Sanders,DEN,WR,11,LAC,9,11,7200,12.76
211,T.Y. Hilton,IND,WR,3,PHI,19,27,7500,12.73
211,Keenan Allen,LAC,WR,7,TEN,4,13,7900,12.73
213,Stefon Diggs,MIN,WR,1,SF,28,23,7400,12.71
214,AJ Green,CIN,WR,2,BAL,1,2,8400,12.7
215,T.Y. Hilton,IND,WR,15,DAL,4,3,7900,12.66
216,Emmanuel Sanders,DEN,WR,4,KC,31,22,6700,12.63
216,Emmanuel Sanders,DEN,WR,8,KC,29,16,7200,12.63
218,Tyreek Hill,KC,WR,5,JAX,1,1,7800,12.57
219,Adam Thielen,MIN,WR,17,CHI,2,11,7200,12.56
220,Robert Woods,LAR,WR,6,DEN,26,13,7300,12.54
221,JuJu Smith-Schuster,PIT,WR,11,JAX,6,1,7200,12.53
222,Alshon Jeffery,PHI,WR,11,NO,28,32,7300,12.52
223,Cooper Kupp,LAR,WR,9,NO,27,32,6800,12.51
223,Stefon Diggs,MIN,WR,13,NE,17,13,7700,12.51
223,Golden Tate,DET,WR,3,NE,24,25,6800,12.51
226,Kenny Golladay,DET,WR,7,MIA,16,11,7000,12.48
226,Stefon Diggs,MIN,WR,4,LAR,1,1,8000,12.48
228,Tyreek Hill,KC,WR,1,LAC,3,9,7300,12.47
228,Tyler Boyd,CIN,WR,8,TB,32,30,6800,12.47
230,Keenan Allen,LAC,WR,16,BAL,1,5,8400,12.46
231,Davante Adams,GB,WR,2,MIN,11,13,8100,12.44
