Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Wes Welker,NE,WR,3,BUF,20,16,80,217,2,33,10.8,13.6,1,19,19,0,0,0,43.6,43.6
2,Jordy Nelson,GB,WR,17,DET,15,9,60,162,3,58,10.8,18,0,0,0,0,0,0,38.7,38.7
3,Calvin Johnson,DET,WR,15,OAK,14,9,64.3,214,2,51,15.3,23.8,0,0,0,0,0,0,37.9,37.9
4,Torrey Smith,BAL,WR,3,LAR,8,5,62.5,152,3,74,19,30.4,1,10,10,0,0,0,36.7,36.7
5,Miles Austin,DAL,WR,2,SF,15,9,60,143,3,53,9.5,15.9,1,-2,-2,0,1,0,36.6,36.6
6,Calvin Johnson,DET,WR,17,GB,17,11,64.7,244,1,41,14.4,22.2,0,0,0,0,0,0,35.9,35.9
7,Jeremy Maclin,PHI,WR,2,ATL,15,13,86.7,171,2,43,11.4,13.2,1,1,1,0,0,0,35.7,35.7
8,Vincent Jackson,LAC,WR,9,GB,12,7,58.3,141,3,38,11.8,20.1,0,0,0,0,0,0,35.6,35.6
9,Vincent Jackson,LAC,WR,2,NE,15,10,66.7,172,2,29,11.5,17.2,0,0,0,0,0,0,34.2,34.2
10,Steve Smith,CAR,WR,1,ARI,11,8,72.7,178,2,77,16.2,22.2,0,0,0,0,0,0,33.8,33.8
11,Percy Harvin,MIN,WR,13,DEN,9,8,88.9,156,2,52,17.3,19.5,5,19,3.8,0,0,0,33.5,33.5
12,Victor Cruz,NYG,WR,12,NO,12,9,75,157,2,72,13.1,17.4,0,0,0,0,0,0,32.2,32.2
13,Wes Welker,NE,WR,1,MIA,12,8,66.7,160,2,99,13.3,20,0,0,0,0,0,0,32,32
14,Pierre Garcon,IND,WR,13,NE,12,9,75,150,2,40,12.5,16.7,0,0,0,0,0,0,31.5,31.5
15,Roddy White,ATL,WR,15,JAX,16,10,62.5,135,2,29,8.4,13.5,0,0,0,0,0,0,30.5,30.5
16,Larry Fitzgerald,ARI,WR,10,PHI,13,7,53.8,146,2,42,11.2,20.9,0,0,0,0,0,0,30.1,30.1
17,Marques Colston,NO,WR,17,CAR,10,7,70,145,2,42,14.5,20.7,0,0,0,0,0,0,30,30
18,Julio Jones,ATL,WR,9,IND,4,3,75,131,2,80,32.8,43.7,2,33,16.5,0,0,0,29.9,29.9
19,Demaryius Thomas,DEN,WR,13,MIN,7,4,57.1,144,2,42,20.6,36,0,0,0,0,0,0,28.4,28.4
20,Dwayne Bowe,KC,WR,5,IND,11,7,63.6,128,2,41,11.6,18.3,0,0,0,0,0,0,28.3,28.3
21,Kenny Britt,TEN,WR,1,JAX,10,5,50,136,2,80,13.6,27.2,0,0,0,0,0,0,28.1,28.1
22,Nate Washington,TEN,WR,11,ATL,9,9,100,115,2,40,12.8,12.8,0,0,0,0,0,0,28,28
23,Pierre Garcon,IND,WR,4,TB,8,2,25,146,2,87,18.2,73,0,0,0,0,0,0,27.6,27.6
24,Jordy Nelson,GB,WR,11,TB,7,6,85.7,123,2,40,17.6,20.5,0,0,0,0,0,0,27.3,27.3
25,Hakeem Nicks,NYG,WR,4,ARI,14,10,71.4,162,1,29,11.6,16.2,0,0,0,0,0,0,27.2,27.2
26,Pierre Garcon,IND,WR,5,KC,8,5,62.5,125,2,67,15.6,25,0,0,0,0,0,0,27,27
27,Denarius Moore,OAK,WR,10,LAC,7,5,71.4,123,2,46,17.6,24.6,0,0,0,0,0,0,26.8,26.8
27,Victor Cruz,NYG,WR,17,DAL,11,6,54.5,178,1,74,16.2,29.7,0,0,0,0,0,0,26.8,26.8
29,Wes Welker,NE,WR,12,PHI,12,8,66.7,115,2,41,9.6,14.4,1,-9,-9,0,0,0,26.6,26.6
