Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Julio Jones,ATL,WR,3,SF,13,11,84.6,182,2,46,14,16.5,0,0,0,0,0,0,35.7,35.7
2,Michael Crabtree,SF,WR,2,GB,11,9,81.8,119,2,20,10.8,13.2,0,0,0,0,0,0,28.4,28.4
3,Torrey Smith,BAL,WR,2,DEN,6,3,50,98,2,59,16.3,32.7,1,0,0,0,0,0,23.3,23.3
4,Anquan Boldin,BAL,WR,1,IND,7,5,71.4,145,1,50,20.7,29,0,0,0,0,0,0,23,23
5,Wes Welker,NE,WR,3,BAL,12,8,66.7,117,1,36,9.8,14.6,0,0,0,0,0,0,21.7,21.7
6,Anquan Boldin,BAL,WR,3,NE,8,5,62.5,60,2,26,7.5,12,0,0,0,0,0,0,20.5,20.5
7,Michael Crabtree,SF,WR,4,BAL,10,5,50,109,1,31,10.9,21.8,0,0,0,0,0,0,19.4,19.4
7,Anquan Boldin,BAL,WR,4,SF,10,6,60,104,1,30,10.4,17.3,0,0,0,0,0,0,19.4,19.4
9,Golden Tate,SEA,WR,2,ATL,8,6,75,103,1,29,12.9,17.2,0,0,0,0,0,0,19.3,19.3
10,Jacoby Jones,BAL,WR,4,SF,2,1,50,56,1,56,28,56,0,0,0,0,1,0,18.1,18.1
11,Michael Jenkins,MIN,WR,1,GB,5,3,60,96,1,50,19.2,32,0,0,0,0,0,0,17.1,17.1
11,Wes Welker,NE,WR,2,HOU,13,8,61.5,131,0,47,10.1,16.4,0,0,0,0,0,0,17.1,17.1
13,James Jones,GB,WR,2,SF,6,4,66.7,87,1,44,14.5,21.8,0,0,0,0,0,0,16.7,16.7
14,Roddy White,ATL,WR,2,SEA,10,5,50,76,1,47,7.6,15.2,0,0,0,0,0,0,16.1,16.1
15,Reggie Wayne,IND,WR,1,BAL,17,9,52.9,114,0,20,6.7,12.7,0,0,0,0,0,0,15.9,15.9
16,Andre Johnson,HOU,WR,2,NE,11,8,72.7,95,0,22,8.6,11.9,0,0,0,0,0,0,15.5,15.5
17,Jacoby Jones,BAL,WR,2,DEN,5,2,40,77,1,70,15.4,38.5,0,0,0,0,0,0,14.7,14.7
18,Greg Jennings,GB,WR,2,SF,8,6,75,54,1,30,6.8,9,0,0,0,0,0,0,14.4,14.4
19,Roddy White,ATL,WR,3,SF,14,7,50,100,0,23,7.1,14.3,0,0,0,0,0,0,13.5,13.5
20,DeVier Posey,HOU,WR,2,NE,5,3,60,47,1,25,9.4,15.7,0,0,0,0,0,0,12.2,12.2
21,Trindon Holliday,DEN,WR,2,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
22,Brandon Lloyd,NE,WR,2,HOU,9,5,55.6,32,1,8,3.6,6.4,0,0,0,0,0,0,11.7,11.7
23,Eric Decker,DEN,WR,2,BAL,10,6,60,84,0,32,8.4,14,0,0,0,0,0,0,11.4,11.4
24,Demaryius Thomas,DEN,WR,2,BAL,7,3,42.9,37,1,17,5.3,12.3,0,0,0,0,0,0,11.2,11.2
25,T.Y. Hilton,IND,WR,1,BAL,13,8,61.5,66,0,25,5.1,8.2,0,0,0,0,0,0,10.6,10.6
26,AJ Green,CIN,WR,1,HOU,11,5,45.5,80,0,45,7.3,16,0,0,0,0,0,0,10.5,10.5
26,Brandon Lloyd,NE,WR,3,BAL,14,7,50,70,0,16,5,10,0,0,0,0,0,0,10.5,10.5
28,Brandon Stokley,DEN,WR,2,BAL,6,3,50,27,1,15,4.5,9,0,0,0,0,0,0,10.2,10.2
29,Anquan Boldin,BAL,WR,2,DEN,11,6,54.5,71,0,19,6.5,11.8,0,0,0,0,0,0,10.1,10.1
30,Torrey Smith,BAL,WR,3,NE,9,4,44.4,69,0,25,7.7,17.2,0,0,0,0,0,0,8.9,8.9
31,Julio Jones,ATL,WR,2,SEA,10,6,60,59,0,21,5.9,9.8,1,-1,-1,0,0,0,8.8,8.8
32,Andre Johnson,HOU,WR,1,CIN,6,4,66.7,62,0,22,10.3,15.5,0,0,0,0,0,0,8.2,8.2
33,Greg Jennings,GB,WR,1,MIN,6,4,66.7,61,0,32,10.2,15.2,0,0,0,0,0,0,8.1,8.1
34,Sidney Rice,SEA,WR,2,ATL,9,4,44.4,60,0,24,6.7,15,0,0,0,0,0,0,8,8
35,Randall Cobb,GB,WR,2,SF,6,5,83.3,24,0,8,4,4.8,2,23,11.5,0,1,0,7.2,7.2
36,James Jones,GB,WR,1,MIN,4,4,100,51,0,20,12.8,12.8,0,0,0,0,0,0,7.1,7.1
36,Jordy Nelson,GB,WR,2,SF,7,5,71.4,46,0,12,6.6,9.2,0,0,0,0,0,0,7.1,7.1
38,Pierre Garcon,WAS,WR,1,SEA,6,4,66.7,50,0,30,8.3,12.5,0,0,0,0,0,0,7,7
39,Michael Crabtree,SF,WR,3,ATL,7,6,85.7,57,0,33,8.1,9.5,0,0,0,0,1,1,6.7,6.7
40,Jordy Nelson,GB,WR,1,MIN,6,3,50,51,0,23,8.5,17,0,0,0,0,0,0,6.6,6.6
41,Randy Moss,SF,WR,3,ATL,4,3,75,46,0,21,11.5,15.3,0,0,0,0,0,0,6.1,6.1
42,Golden Tate,SEA,WR,1,WAS,5,4,80,35,0,15,7,8.8,0,0,0,0,0,0,5.5,5.5
43,Randy Moss,SF,WR,4,BAL,5,2,40,41,0,32,8.2,20.5,0,0,0,0,0,0,5.1,5.1
44,Doug Baldwin,SEA,WR,1,WAS,5,2,40,39,0,33,7.8,19.5,0,0,0,0,0,0,4.9,4.9
44,Marvin Jones,CIN,WR,1,HOU,5,3,60,34,0,15,6.8,11.3,0,0,0,0,0,0,4.9,4.9
46,Harry Douglas,ATL,WR,3,SF,3,3,100,31,0,22,10.3,10.3,0,0,0,0,0,0,4.6,4.6
46,Kevin Walter,HOU,WR,1,CIN,5,4,80,26,0,12,5.2,6.5,0,0,0,0,0,0,4.6,4.6
48,Torrey Smith,BAL,WR,4,SF,6,2,33.3,35,0,20,5.8,17.5,0,0,0,0,0,0,4.5,4.5
49,Torrey Smith,BAL,WR,1,IND,4,2,50,31,0,22,7.8,15.5,0,0,0,0,0,0,4.1,4.1
50,Harry Douglas,ATL,WR,2,SEA,3,2,66.7,29,0,22,9.7,14.5,0,0,0,0,0,0,3.9,3.9
51,Donnie Avery,IND,WR,1,BAL,8,2,25,12,0,7,1.5,6,1,15,15,0,0,0,3.7,3.7
51,Leonard Hankerson,WAS,WR,1,SEA,5,2,40,27,0,15,5.4,13.5,0,0,0,0,0,0,3.7,3.7
53,Randy Moss,SF,WR,2,GB,4,2,50,25,0,13,6.2,12.5,0,0,0,0,0,0,3.5,3.5
54,Santana Moss,WAS,WR,1,SEA,5,3,60,19,0,10,3.8,6.3,0,0,0,0,0,0,3.4,3.4
55,Sidney Rice,SEA,WR,1,WAS,4,1,25,27,0,27,6.8,27,0,0,0,0,0,0,3.2,3.2
56,Jerome Simpson,MIN,WR,1,GB,6,2,33.3,21,0,13,3.5,10.5,0,0,0,0,0,0,3.1,3.1
57,Deion Branch,NE,WR,3,BAL,5,2,40,16,0,10,3.2,8,0,0,0,0,0,0,2.6,2.6
58,Andrew Hawkins,CIN,WR,1,HOU,4,2,50,15,0,8,3.8,7.5,0,0,0,0,0,0,2.5,2.5
58,Kevin Walter,HOU,WR,2,NE,2,2,100,15,0,8,7.5,7.5,0,0,0,0,1,0,2.5,2.5
60,Jarius Wright,MIN,WR,1,GB,4,2,50,13,0,8,3.2,6.5,0,0,0,0,0,0,2.3,2.3
61,LaVon Brazill,IND,WR,1,BAL,2,1,50,17,0,17,8.5,17,0,0,0,0,0,0,2.2,2.2
62,Randall Cobb,GB,WR,1,MIN,2,1,50,7,0,7,3.5,7,2,6,3,0,0,0,1.8,1.8
63,Keshawn Martin,HOU,WR,1,CIN,0,0,0,0,0,0,0,0,1,16,16,0,0,0,1.6,1.6
64,Jacoby Jones,BAL,WR,1,IND,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.3,1.3
65,Jacoby Jones,BAL,WR,3,NE,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.1,1.1
65,Drew Davis,ATL,WR,2,SEA,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.1,1.1
65,Doug Baldwin,SEA,WR,2,ATL,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.1,1.1
68,Matt Willis,DEN,WR,2,BAL,1,1,100,4,0,4,4,4,0,0,0,0,0,0,0.9,0.9
69,Ted Ginn,SF,WR,2,GB,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,0.8,0.8
70,Josh Morgan,WAS,WR,1,SEA,7,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
71,Devin Aromashodu,MIN,WR,1,GB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Donald Driver,GB,WR,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Tate,CIN,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,David Reed,BAL,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Brandon Banks,WAS,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tandon Doss,BAL,WR,1,IND,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Ryan Whalen,CIN,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Lestar Jean,HOU,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Aldrick Robinson,WAS,WR,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Stephen Burton,MIN,WR,1,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Deonte Thompson,BAL,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,DeVier Posey,HOU,WR,1,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Jermaine Kearse,SEA,WR,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Jeremy Ross,GB,WR,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Matthew Slater,NE,WR,3,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,David Reed,BAL,WR,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Chad Hall,SF,WR,3,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Ted Ginn,SF,WR,3,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tandon Doss,BAL,WR,3,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Drew Davis,ATL,WR,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Deonte Thompson,BAL,WR,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,AJ Jenkins,SF,WR,3,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Donald Driver,GB,WR,2,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Matthew Slater,NE,WR,2,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Deion Branch,NE,WR,2,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tandon Doss,BAL,WR,2,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Lestar Jean,HOU,WR,2,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Deonte Thompson,BAL,WR,2,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Keshawn Martin,HOU,WR,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,AJ Jenkins,SF,WR,2,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Jermaine Kearse,SEA,WR,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,David Reed,BAL,WR,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Ted Ginn,SF,WR,4,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tandon Doss,BAL,WR,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Deonte Thompson,BAL,WR,4,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,AJ Jenkins,SF,WR,4,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Jeremy Ross,GB,WR,2,SF,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2
