,date,favorite,spread,underdog,total,awayMoneyLine,homeMoneyLine,season,week
0,"September 8, 2011 12:00 AM",at Packers,-4.0,Saints,47.5,,,2011,1
1,"September 11, 2011 12:00 AM",at Texans,-8.5,Colts,43.5,,,2011,1
2,"September 11, 2011 12:00 AM",Titans,-1.0,at Jaguars,37.5,,,2011,1
3,"September 11, 2011 12:00 AM",at Chiefs,-4.0,Bills,40.0,,,2011,1
4,"September 11, 2011 12:00 AM",at Chargers,-9.0,Vikings,42.5,,,2011,1
5,"September 11, 2011 12:00 AM",Eagles,-4.0,at Rams,44.5,,,2011,1
6,"September 11, 2011 12:00 AM",at Cardinals,-7.0,Panthers,37.5,,,2011,1
7,"September 11, 2011 12:00 AM",at Ravens,-1.5,Steelers,36.5,,,2011,1
8,"September 11, 2011 12:00 AM",Falcons,-1.5,at Bears,41.0,,,2011,1
9,"September 11, 2011 12:00 AM",at Browns,-6.5,Bengals,36.0,,,2011,1
10,"September 11, 2011 12:00 AM",at Jets,-6.0,Cowboys,40.5,,,2011,1
11,"September 11, 2011 12:00 AM",at 49ers,-6.0,Seahawks,37.5,,,2011,1
12,"September 11, 2011 12:00 AM",at Buccaneers,-1.5,Lions,43.0,,,2011,1
13,"September 11, 2011 12:00 AM",Giants,-2.5,at Redskins,40.0,,,2011,1
14,"September 12, 2011 12:00 AM",at Broncos,-3.0,Raiders,40.5,,,2011,1
15,"September 12, 2011 12:00 AM",Patriots,-7.5,at Dolphins,45.5,,,2011,1
0,"September 18, 2011 12:00 AM",Eagles,-2.5,at Falcons,50.0,,,2011,2
1,"September 18, 2011 12:00 AM",at Bills,-4.0,Raiders,41.0,,,2011,2
2,"September 18, 2011 12:00 AM",Packers,-10.5,at Panthers,46.0,,,2011,2
3,"September 18, 2011 12:00 AM",at Broncos,-3.5,Bengals,40.0,,,2011,2
4,"September 18, 2011 12:00 AM",at Lions,-8.0,Chiefs,45.0,,,2011,2
5,"September 18, 2011 12:00 AM",Browns,-1.5,at Colts,39.5,,,2011,2
6,"September 18, 2011 12:00 AM",Texans,-3.0,at Dolphins,48.0,,,2011,2
7,"September 18, 2011 12:00 AM",at Vikings,-1.0,Buccaneers,41.5,,,2011,2
8,"September 18, 2011 12:00 AM",at Patriots,-7.0,Chargers,53.5,,,2011,2
9,"September 18, 2011 12:00 AM",at Saints,-5.5,Bears,47.5,,,2011,2
10,"September 18, 2011 12:00 AM",at Jets,-9.0,Jaguars,38.5,,,2011,2
11,"September 18, 2011 12:00 AM",at Steelers,-14.0,Seahawks,40.0,,,2011,2
12,"September 18, 2011 12:00 AM",Cowboys,-3.0,at 49ers,41.5,,,2011,2
13,"September 18, 2011 12:00 AM",Ravens,-6.0,at Titans,38.0,,,2011,2
14,"September 18, 2011 12:00 AM",at Redskins,-4.5,Cardinals,45.0,,,2011,2
15,"September 19, 2011 12:00 AM",at Giants,-7.0,Rams,44.0,,,2011,2
0,"September 25, 2011 12:00 AM",Steelers,-11.0,at Colts,39.5,,,2011,3
1,"September 25, 2011 12:00 AM",at Chargers,-14.0,Chiefs,44.5,,,2011,3
2,"September 25, 2011 12:00 AM",Ravens,-5.5,at Rams,42.0,,,2011,3
3,"September 25, 2011 12:00 AM",Lions,-3.0,at Vikings,44.5,,,2011,3
4,"September 25, 2011 12:00 AM",at Saints,-3.5,Texans,51.0,,,2011,3
5,"September 25, 2011 12:00 AM",Jets,-2.5,at Raiders,41.0,,,2011,3
6,"September 25, 2011 12:00 AM",at Eagles,-8.0,Giants,47.0,,,2011,3
7,"September 25, 2011 12:00 AM",Cardinals,-3.5,at Seahawks,42.5,,,2011,3
8,"September 25, 2011 12:00 AM",at Buccaneers,-1.0,Falcons,45.0,,,2011,3
9,"September 25, 2011 12:00 AM",at Titans,-7.0,Broncos,44.0,,,2011,3
10,"September 25, 2011 12:00 AM",Patriots,-7.0,at Bills,54.0,,,2011,3
11,"September 25, 2011 12:00 AM",at Panthers,-3.5,Jaguars,43.0,,,2011,3
12,"September 25, 2011 12:00 AM",Packers,-4.0,at Bears,45.0,,,2011,3
13,"September 25, 2011 12:00 AM",at Bengals,-1.5,49ers,39.0,,,2011,3
14,"September 25, 2011 12:00 AM",Dolphins,-1.0,at Browns,41.5,,,2011,3
15,"September 26, 2011 12:00 AM",at Cowboys,-3.5,Redskins,45.0,,,2011,3
0,"October 2, 2011 12:00 AM",at Cardinals,-1.0,Giants,45.0,,,2011,4
1,"October 2, 2011 12:00 AM",at Ravens,-5.0,Jets,43.5,,,2011,4
2,"October 2, 2011 12:00 AM",at Bears,-6.5,Panthers,42.0,,,2011,4
3,"October 2, 2011 12:00 AM",Bills,-3.0,at Bengals,43.0,,,2011,4
4,"October 2, 2011 12:00 AM",at Browns,-1.0,Titans,38.0,,,2011,4
5,"October 2, 2011 12:00 AM",at Cowboys,-2.5,Lions,46.5,,,2011,4
6,"October 2, 2011 12:00 AM",at Packers,-12.5,Broncos,46.0,,,2011,4
7,"October 2, 2011 12:00 AM",at Texans,-4.0,Steelers,46.0,,,2011,4
8,"October 2, 2011 12:00 AM",Saints,-8.5,at Jaguars,45.0,,,2011,4
9,"October 2, 2011 12:00 AM",Vikings,-3.0,at Chiefs,40.0,,,2011,4
10,"October 2, 2011 12:00 AM",at Chargers,-7.0,Dolphins,45.0,,,2011,4
11,"October 2, 2011 12:00 AM",Redskins,-2.5,at Rams,44.0,,,2011,4
12,"October 2, 2011 12:00 AM",Patriots,-6.0,at Raiders,55.5,,,2011,4
13,"October 2, 2011 12:00 AM",at Eagles,-10.0,49ers,43.5,,,2011,4
14,"October 2, 2011 12:00 AM",Falcons,-6.0,at Seahawks,39.0,,,2011,4
15,"October 3, 2011 12:00 AM",at Buccaneers,-10.0,Colts,40.0,,,2011,4
0,"October 9, 2011 12:00 AM",at Texans,-5.0,Raiders,48.5,,,2011,5
1,"October 9, 2011 12:00 AM",at Colts,-2.0,Chiefs,38.0,,,2011,5
2,"October 9, 2011 12:00 AM",Bengals,-2.0,at Jaguars,37.0,,,2011,5
3,"October 9, 2011 12:00 AM",at Vikings,-3.5,Cardinals,45.5,,,2011,5
4,"October 9, 2011 12:00 AM",at Patriots,-7.5,Jets,50.0,,,2011,5
5,"October 9, 2011 12:00 AM",at Giants,-10.0,Seahawks,43.5,,,2011,5
6,"October 9, 2011 12:00 AM",at Steelers,-3.5,Titans,40.0,,,2011,5
7,"October 9, 2011 12:00 AM",at 49ers,-3.0,Buccaneers,41.5,,,2011,5
8,"October 9, 2011 12:00 AM",Packers,-6.0,at Falcons,53.5,,,2011,5
9,"October 9, 2011 12:00 AM",Eagles,-3.0,at Bills,53.0,,,2011,5
10,"October 9, 2011 12:00 AM",Saints,-6.5,at Panthers,51.5,,,2011,5
11,"October 9, 2011 12:00 AM",Chargers,-3.5,at Broncos,46.0,,,2011,5
12,"October 10, 2011 12:00 AM",at Lions,-6.5,Bears,47.0,,,2011,5
0,"October 16, 2011 12:00 AM",at Falcons,-3.5,Panthers,49.5,,,2011,6
1,"October 16, 2011 12:00 AM",at Ravens,-7.0,Texans,44.0,,,2011,6
2,"October 16, 2011 12:00 AM",at Bears,-2.5,Vikings,42.0,,,2011,6
3,"October 16, 2011 12:00 AM",at Bengals,-6.0,Colts,40.5,,,2011,6
4,"October 16, 2011 12:00 AM",at Lions,-5.0,49ers,45.5,,,2011,6
