,date,season,week,team,spread,total,moneyLine,homeOrAway,impliedTotal
0,"September 8, 2011 12:00 AM",2011,1,Packers,-4.0,47.5,,home,25.75
1,"September 11, 2011 12:00 AM",2011,1,Texans,-8.5,43.5,,home,26.0
3,"September 11, 2011 12:00 AM",2011,1,Chiefs,-4.0,40.0,,home,22.0
4,"September 11, 2011 12:00 AM",2011,1,Chargers,-9.0,42.5,,home,25.75
6,"September 11, 2011 12:00 AM",2011,1,Cardinals,-7.0,37.5,,home,22.25
7,"September 11, 2011 12:00 AM",2011,1,Ravens,-1.5,36.5,,home,19.0
9,"September 11, 2011 12:00 AM",2011,1,Browns,-6.5,36.0,,home,21.25
10,"September 11, 2011 12:00 AM",2011,1,Jets,-6.0,40.5,,home,23.25
11,"September 11, 2011 12:00 AM",2011,1,49ers,-6.0,37.5,,home,21.75
12,"September 11, 2011 12:00 AM",2011,1,Buccaneers,-1.5,43.0,,home,22.25
14,"September 12, 2011 12:00 AM",2011,1,Broncos,-3.0,40.5,,home,21.75
1,"September 18, 2011 12:00 AM",2011,2,Bills,-4.0,41.0,,home,22.5
3,"September 18, 2011 12:00 AM",2011,2,Broncos,-3.5,40.0,,home,21.75
4,"September 18, 2011 12:00 AM",2011,2,Lions,-8.0,45.0,,home,26.5
7,"September 18, 2011 12:00 AM",2011,2,Vikings,-1.0,41.5,,home,21.25
8,"September 18, 2011 12:00 AM",2011,2,Patriots,-7.0,53.5,,home,30.25
9,"September 18, 2011 12:00 AM",2011,2,Saints,-5.5,47.5,,home,26.5
10,"September 18, 2011 12:00 AM",2011,2,Jets,-9.0,38.5,,home,23.75
11,"September 18, 2011 12:00 AM",2011,2,Steelers,-14.0,40.0,,home,27.0
14,"September 18, 2011 12:00 AM",2011,2,Redskins,-4.5,45.0,,home,24.75
15,"September 19, 2011 12:00 AM",2011,2,Giants,-7.0,44.0,,home,25.5
1,"September 25, 2011 12:00 AM",2011,3,Chargers,-14.0,44.5,,home,29.25
4,"September 25, 2011 12:00 AM",2011,3,Saints,-3.5,51.0,,home,27.25
6,"September 25, 2011 12:00 AM",2011,3,Eagles,-8.0,47.0,,home,27.5
8,"September 25, 2011 12:00 AM",2011,3,Buccaneers,-1.0,45.0,,home,23.0
9,"September 25, 2011 12:00 AM",2011,3,Titans,-7.0,44.0,,home,25.5
11,"September 25, 2011 12:00 AM",2011,3,Panthers,-3.5,43.0,,home,23.25
13,"September 25, 2011 12:00 AM",2011,3,Bengals,-1.5,39.0,,home,20.25
15,"September 26, 2011 12:00 AM",2011,3,Cowboys,-3.5,45.0,,home,24.25
0,"October 2, 2011 12:00 AM",2011,4,Cardinals,-1.0,45.0,,home,23.0
1,"October 2, 2011 12:00 AM",2011,4,Ravens,-5.0,43.5,,home,24.25
2,"October 2, 2011 12:00 AM",2011,4,Bears,-6.5,42.0,,home,24.25
